ticker,company_name,row_index,filing_date,trade_date,error_type,error_message,ignore?
nan,Pismo Coast Village Inc,2951,4/29/2025 18:21,4/28/2025,ticker_not_found,TRUE,y private
VRM,"Vroom, Inc.",1137,6/12/2025 21:27,6/10/2025,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
EWSB,"Ewsb Bancorp, Inc. /Md/",1869,5/23/2025 15:31,5/5/2025,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
MRP,"Millrose Properties, Inc.",1879,5/23/2025 11:35,5/21/2025,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
FLOC,Flowco Holdings Inc.,1998,5/21/2025 16:10,5/19/2025,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
ECG,"Everus Construction Group, Inc.",5055,2/26/2025 19:15,2/25/2025,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
GUER,"Guerrilla Rf, Inc.",6861,12/11/2024 14:05,11/26/2024,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
ARDT,"Ardent Health Partners, Inc.",7861,11/13/2024 16:41,11/8/2024,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
BIOE,Bio Essence Corp,8457,10/11/2024 13:57,6/6/2023,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
GRAL,"Grail, Inc.",8464,10/10/2024 19:45,10/1/2024,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
VLTO,Veralto Corp,15851,2/6/2024 21:15,2/2/2024,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
KVUE,Kenvue Inc.,20810,8/31/2023 16:25,8/30/2023,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
BFRG,"Bullfrog Ai Holdings, Inc.",23181,6/15/2023 8:51,6/14/2023,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
GEHC,Ge Healthcare Technologies Inc.,27343,3/24/2023 17:01,1/23/2023,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
THRD,"Third Harmonic Bio, Inc.",30528,12/22/2022 18:49,12/20/2022,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
BIAF,"Bioaffinity Technologies, Inc.",31681,12/5/2022 16:12,8/31/2022,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
SKYX,Sql Technologies Corp.,38657,6/13/2022 6:08,6/9/2022,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
WEAV,"Weave Communications, Inc.",43561,3/9/2022 17:42,3/7/2022,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
DRMA,"Dermata Therapeutics, Inc.",48028,11/26/2021 13:30,11/23/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
MXCT,"Maxcyte, Inc.",48269,11/23/2021 7:46,11/22/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
SSBK,"Southern States Bancshares, Inc.",49163,11/8/2021 16:00,11/4/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
EWCZ,"European Wax Center, Inc.",49177,11/5/2021 21:53,8/9/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
NXTP,Nextplay Technologies Inc.,49723,10/18/2021 17:43,8/15/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
TBIO,"Translate Bio, Inc.",50743,9/14/2021 9:59,9/14/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
APP,Applovin Corp,51932,8/18/2021 18:00,8/17/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
KRT,Karat Packaging Inc.,53097,7/28/2021 14:30,4/19/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
BMBL,Bumble Inc.,54842,5/27/2021 21:41,5/26/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
GBNY,"Generations Bancorp Ny, Inc.",56297,4/15/2021 18:29,1/29/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
KAVL,"Kaival Brands Innovations Group, Inc.",56385,4/12/2021 16:37,4/8/2021,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
DASH,"Doordash, Inc.",57296,3/11/2021 20:24,12/9/2020,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
ROOT,"Root, Inc.",57707,3/2/2021 18:10,10/30/2020,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
BIVI,Biovie Inc.,59785,12/15/2020 15:01,11/3/2020,p_m90_td,Not enough history for 90 trading days back,y will decide lookback req later
