ticker,company_name,row_index,filing_date,trade_date,insider_price,error_type,error_message,needGetPriceData?,got?,in folder?
WSC,Willscot Holdings Corp,0,8/6/2025,8/5/2025,25.15,mebuydate,No trading day after 2025-08-06 00:00:00,,,
PRLB,Proto Labs Inc,1,8/6/2025,8/4/2025,43.51,mebuydate,No trading day after 2025-08-06 00:00:00,,,
RVSB,Riverview Bancorp Inc,2,8/6/2025,8/4/2025,4.85,mebuydate,No trading day after 2025-08-06 00:00:00,,,
TBBK,"Bancorp, Inc.",3,8/6/2025,8/4/2025,63.51,mebuydate,No trading day after 2025-08-06 00:00:00,,,
ASUR,Asure Software Inc,4,8/6/2025,8/6/2025,8.16,mebuydate,No trading day after 2025-08-06 00:00:00,,,
BLFY,Blue Foundry Bancorp,6,8/6/2025,8/4/2025,8.51,mebuydate,No trading day after 2025-08-06 00:00:00,,,
DLHC,Dlh Holdings Corp.,7,8/6/2025,8/4/2025,5.5,mebuydate,No trading day after 2025-08-06 00:00:00,,,
BRBR,"Bellring Brands, Inc.",8,8/6/2025,8/6/2025,37.49,mebuydate,No trading day after 2025-08-06 00:00:00,,,
ENPH,"Enphase Energy, Inc.",11,8/6/2025,8/6/2025,30.82,mebuydate,No trading day after 2025-08-06 00:00:00,,,
MUSA,Murphy USA Inc.,12,8/6/2025,8/5/2025,367.01,mebuydate,No trading day after 2025-08-06 00:00:00,,,
MOH,"Molina Healthcare, Inc.",13,8/6/2025,8/4/2025,155.94,mebuydate,No trading day after 2025-08-06 00:00:00,,,
NSP,"Insperity, Inc.",14,8/6/2025,8/4/2025,45.24,mebuydate,No trading day after 2025-08-06 00:00:00,,,
AMSC,American Superconductor Corp /De/,19,8/6/2025,8/4/2022,5.57,mebuydate,No trading day after 2025-08-06 00:00:00,,,
SHEN,Shenandoah Telecommunications Co/Va/,22,8/6/2025,8/4/2025,13.06,mebuydate,No trading day after 2025-08-06 00:00:00,,,
SNV,Synovus Financial Corp,24,8/6/2025,8/5/2025,47.79,mebuydate,No trading day after 2025-08-06 00:00:00,,,
MMLP,Martin Midstream Partners L.P.,25,8/6/2025,8/4/2025,2.95,mebuydate,No trading day after 2025-08-06 00:00:00,,,
NEO,Neogenomics Inc,26,8/6/2025,8/6/2025,5.62,mebuydate,No trading day after 2025-08-06 00:00:00,,,
IOR,Income Opportunity Realty Investors Inc /Tx/,28,8/6/2025,7/8/2025,17.9,mebuydate,No trading day after 2025-08-06 00:00:00,,,
NEGG,"Newegg Commerce, Inc.",29,8/6/2025,8/4/2025,54.04,mebuydate,No trading day after 2025-08-06 00:00:00,,,
DOC,"Healthpeak Properties, Inc.",30,8/6/2025,8/6/2025,17.06,mebuydate,No trading day after 2025-08-06 00:00:00,,,
NWFL,Norwood Financial Corp,31,8/6/2025,8/6/2025,23.9,mebuydate,No trading day after 2025-08-06 00:00:00,,,
LRCX,Lam Research Corp,32,8/6/2025,4/8/2025,63.66,mebuydate,No trading day after 2025-08-06 00:00:00,,,
CHD,Church & Dwight Co Inc /De/,33,8/6/2025,8/5/2025,91.27,mebuydate,No trading day after 2025-08-06 00:00:00,,,
IBCP,Independent Bank Corp /Mi/,34,8/6/2025,8/5/2025,29.64,mebuydate,No trading day after 2025-08-06 00:00:00,,,
FRST,Primis Financial Corp.,35,8/6/2025,8/5/2025,11.02,mebuydate,No trading day after 2025-08-06 00:00:00,,,
TPL,Texas Pacific Land Corp,36,8/6/2025,8/5/2025,950.14,mebuydate,No trading day after 2025-08-06 00:00:00,,,
TROX,Tronox Holdings Plc,37,8/6/2025,8/5/2025,3.32,mebuydate,No trading day after 2025-08-06 00:00:00,,,
EFSC,Enterprise Financial Services Corp,38,8/6/2025,8/4/2025,54.11,mebuydate,No trading day after 2025-08-06 00:00:00,,,
VNRX,Volitionrx Ltd,39,8/6/2025,8/5/2025,0.64,mebuydate,No trading day after 2025-08-06 00:00:00,,,
CCFN,Muncy Columbia Financial Corp,41,8/6/2025,8/5/2025,50.41,mebuydate,No trading day after 2025-08-06 00:00:00,,,
PINE,"Alpine Income Property Trust, Inc.",42,8/5/2025,8/1/2025,14.24,p_p1_td,Not enough future data for 1 trading days forward,,,
FIG,"Figma, Inc.",43,8/5/2025,8/1/2025,33,p_m5_td,Not enough history for 5 trading days back,,,
AMKR,"Amkor Technology, Inc.",47,8/5/2025,8/1/2025,21.85,p_p1_td,Not enough future data for 1 trading days forward,,,
THRY,"Thryv Holdings, Inc.",53,8/5/2025,8/1/2025,12.9,p_p1_td,Not enough future data for 1 trading days forward,,,
SI,"Shoulder Innovations, Inc.",54,8/5/2025,8/1/2025,15,p_m5_td,Not enough history for 5 trading days back,,,
SONO,Sonos Inc,55,8/5/2025,8/1/2025,10.68,p_p1_td,Not enough future data for 1 trading days forward,,,
HTBK,Heritage Commerce Corp,56,8/5/2025,8/1/2025,9.25,p_p1_td,Not enough future data for 1 trading days forward,,,
BCAR,D. Boral Arc Acquisition I Corp.,57,8/5/2025,8/1/2025,10,filing_price,Filing date 2025-08-05 00:00:00 not a trading day,n valid only,,
AUPH,Aurinia Pharmaceuticals Inc.,58,8/5/2025,8/1/2025,10.45,p_p1_td,Not enough future data for 1 trading days forward,,,
ASAN,"Asana, Inc.",59,8/5/2025,8/1/2025,14.21,p_p1_td,Not enough future data for 1 trading days forward,,,
XRX,Xerox Holdings Corp,60,8/5/2025,8/1/2025,4.03,p_p1_td,Not enough future data for 1 trading days forward,,,
DLPN,"Dolphin Entertainment, Inc.",62,8/5/2025,8/4/2025,1.12,p_p1_td,Not enough future data for 1 trading days forward,,,
UMBF,Umb Financial Corp,63,8/5/2025,8/1/2025,107.58,p_p1_td,Not enough future data for 1 trading days forward,,,
DYAI,Dyadic International Inc,65,8/5/2025,8/1/2025,0.95,p_p1_td,Not enough future data for 1 trading days forward,,,
FCNCA,First Citizens Bancshares Inc /De/,66,8/5/2025,8/5/2025,1888.6,p_p1_td,Not enough future data for 1 trading days forward,,,
RVP,Retractable Technologies Inc,68,8/5/2025,8/4/2025,0.72,p_p1_td,Not enough future data for 1 trading days forward,,,
EIG,"Employers Holdings, Inc.",69,8/5/2025,8/5/2025,40.04,p_p1_td,Not enough future data for 1 trading days forward,,,
AIN,Albany International Corp /De/,70,8/5/2025,8/5/2025,59.75,p_p1_td,Not enough future data for 1 trading days forward,,,
CBZ,"Cbiz, Inc.",71,8/5/2025,8/4/2025,62.78,p_p1_td,Not enough future data for 1 trading days forward,,,
QIND,Quality Industrial Corp.,72,8/5/2025,8/1/2025,0.02,p_p1_td,Not enough future data for 1 trading days forward,,,
