ticker,lvl,mdate,mprice_date,company_name,error
FOMC,itermebuyprice2,2023-04-27 16:27:32,2023-05-02,"Fomo Worldwide, Inc.",index -2 is out of bounds for axis 0 with size 0
CSTR,itermebuyprice2,2023-05-02 17:16:51,2023-04-25,"Capstar Financial Holdings, Inc.",index -2 is out of bounds for axis 0 with size 0
SMMF,itermebuyprice2,2023-05-02 16:41:26,2023-04-28,"Summit Financial Group, Inc.",index -2 is out of bounds for axis 0 with size 0
HMNF,itermebuyprice2,2023-03-25 15:43:09,2023-05-02,Hmn Financial Inc,index -2 is out of bounds for axis 0 with size 0
CVCY,itermebuyprice2,2023-04-29 14:01:19,2023-04-28,Central Valley Community Bancorp,index -2 is out of bounds for axis 0 with size 0
BECN,itermebuyprice2,2023-04-29 17:42:59,2023-04-28,Beacon Roofing Supply Inc,index -2 is out of bounds for axis 0 with size 0
SCWX,itermebuyprice2,2023-03-25 16:13:37,2023-04-28,Secureworks Corp,index -2 is out of bounds for axis 0 with size 0
NEP,itermebuyprice2,2023-04-29 16:04:37,2023-04-28,"Nextera Energy Partners, LP",index -2 is out of bounds for axis 0 with size 0
BCOV,itermebuyprice2,2023-03-29 16:16:13,2023-04-19,Brightcove Inc,index -2 is out of bounds for axis 0 with size 0
AHNR,itermebuyprice2,2023-04-27 18:24:00,2023-04-05,Athena Gold Corp,index -2 is out of bounds for axis 0 with size 0
AULT,itermebuyprice2,2023-04-25 19:05:33,2023-03-31,"Ault Alliance, Inc.",index -2 is out of bounds for axis 0 with size 0
HHC,itermebuyprice2,2023-03-28 17:29:17,2023-04-06,Howard Hughes Corp,index -2 is out of bounds for axis 0 with size 0
SFT,itermebuyprice2,2023-04-27 17:01:32,2023-03-30,"Shift Technologies, Inc.",index -2 is out of bounds for axis 0 with size 0
FSNB,itermebuyprice2,2023-04-26 21:22:20,2023-03-27,Fusion Acquisition Corp. II,index -2 is out of bounds for axis 0 with size 0
CEMI,itermebuyprice2,2023-04-07 21:37:34,2023-03-27,"Chembio Diagnostics, Inc.",index -2 is out of bounds for axis 0 with size 0
QGNC,itermebuyprice2,2023-04-26 16:12:36,2023-04-20,Community Trust Bancorp Inc /Ky/,index -2 is out of bounds for axis 0 with size 0
WMPN,itermebuyprice2,2023-04-26 12:07:48,2023-04-26,William Penn Bancorporation,index -2 is out of bounds for axis 0 with size 0
SDIG,itermebuyprice2,2023-04-25 21:48:54,2023-04-26,"Stronghold Digital Mining, Inc.",index -2 is out of bounds for axis 0 with size 0
CYTH,itermebuyprice2,2023-04-25 10:27:25,2023-04-24,"Cyclo Therapeutics, Inc.",index -2 is out of bounds for axis 0 with size 0
AUGX,itermebuyprice2,2023-04-22 21:53:29,2023-04-18,"Augmedix, Inc.",index -2 is out of bounds for axis 0 with size 0
MICS,itermebuyprice2,2023-03-30 16:30:13,2023-04-18,Singing Machine Co Inc,index -2 is out of bounds for axis 0 with size 0
VBHI,itermebuyprice2,2023-04-22 12:17:01,2023-04-21,"Verde Bio Holdings, Inc.",index -2 is out of bounds for axis 0 with size 0
AMAM,itermebuyprice2,2023-04-18 17:46:21,2023-04-20,Ambrx Biopharma Inc.,index -2 is out of bounds for axis 0 with size 0
ADEX.,itermebuyprice2,2023-04-21 16:30:18,2023-04-20,Adit Edtech Acquisition Corp.,index -2 is out of bounds for axis 0 with size 0
JOAN,itermebuyprice2,2023-04-19 08:53:21,2023-04-19,Joann Inc.,index -2 is out of bounds for axis 0 with size 0
ONCT,itermebuyprice2,2023-04-15 06:00:10,2023-04-13,"Oncternal Therapeutics, Inc.",index -2 is out of bounds for axis 0 with size 0
MLCT,itermebuyprice2,2023-04-14 18:18:28,2023-04-13,"Malachite Innovations, Inc.",index -2 is out of bounds for axis 0 with size 0
USBL,itermebuyprice2,2023-04-14 17:25:09,2023-04-13,United States Basketball League Inc,index -2 is out of bounds for axis 0 with size 0
SFE,itermebuyprice2,2023-04-14 16:56:46,2023-04-05,Safeguard Scientifics Inc,index -2 is out of bounds for axis 0 with size 0
