ticker,lvl,mdate,mprice_date,company_name,error,trade_price,trade_date,qty,,invcomticker,invcomname,news,lead,found,dloaded,cleaned,inDataDict excel doc?,end date
FOMC,itermebuyprice2,4/27/2023 16:27,5/2/2023,"Fomo Worldwide, Inc.",index -2 is out of bounds for axis 0 with size 0,0.19,4/26/2023 0:00,5548815,,,,,,,,,,
CSTR,itermebuyprice2,5/2/2023 17:16,4/25/2023,"Capstar Financial Holdings, Inc.",index -2 is out of bounds for axis 0 with size 0,13.37,5/1/2023 0:00,5000,,1,1,1,,,,,,
SMMF,itermebuyprice2,5/2/2023 16:41,4/28/2023,"Summit Financial Group, Inc.",index -2 is out of bounds for axis 0 with size 0,19.62,5/1/2023 0:00,3000,,0,0,1,,,,,,
HMNF,itermebuyprice2,3/25/2023 15:43,5/2/2023,Hmn Financial Inc,index -2 is out of bounds for axis 0 with size 0,18.35,4/27/2023 0:00,1054,,,,,,,,,,
CVCY,itermebuyprice2,4/29/2023 14:01,4/28/2023,Central Valley Community Bancorp,index -2 is out of bounds for axis 0 with size 0,14.73,4/28/2023 0:00,2000,,,,,,,,,,
BECN,itermebuyprice2,4/29/2023 17:42,4/28/2023,Beacon Roofing Supply Inc,index -2 is out of bounds for axis 0 with size 0,60.07,4/28/2023 0:00,99880,,0,0,1,QXO,https://stockanalysis.com/stocks/becn/history/,m,0,1,4/29/2025
SCWX,itermebuyprice2,3/25/2023 16:13,4/28/2023,Secureworks Corp,index -2 is out of bounds for axis 0 with size 0,9.04,4/26/2023 0:00,32669,,,,,,,,,,
NEP,itermebuyprice2,4/29/2023 16:04,4/28/2023,"Nextera Energy Partners, LP",index -2 is out of bounds for axis 0 with size 0,56.89,4/27/2023 0:00,1750,,under,proportion,,,,,,,
BCOV,itermebuyprice2,3/29/2023 16:16,4/19/2023,Brightcove Inc,index -2 is out of bounds for axis 0 with size 0,3.85,4/26/2023 0:00,10000,,1,0.261538462,,,,,,,
AHNR,itermebuyprice2,4/27/2023 18:24,4/5/2023,Athena Gold Corp,index -2 is out of bounds for axis 0 with size 0,0.05,4/24/2023 0:00,1428571,,1.5,0.3125,,,,,,,
