date,h,l,c,o,volume
01/02/2019,0.3150,0.3150,0.3150,00.3150,5000
01/04/2019,0.2900,0.2900,0.2900,00.2900,1000
01/07/2019,0.2950,0.2950,0.2950,00.2950,200
01/09/2019,0.3613,0.3613,0.3613,00.3613,3300
01/11/2019,0.3995,0.3900,0.3995,00.3900,4300
01/22/2019,0.3430,0.3430,0.3430,00.3430,1000
01/23/2019,0.4000,0.3030,0.4000,,6200
01/28/2019,0.4150,0.3600,0.4150,00.3600,28800
01/29/2019,0.4190,0.4190,0.4190,00.4190,3600
01/30/2019,0.4189,0.4000,0.4189,00.4000,3400
02/01/2019,0.3500,0.3500,0.3500,,9000
02/07/2019,0.3301,0.3301,0.3301,00.3301,100
02/08/2019,0.4050,0.3625,0.4050,00.4050,1200
02/12/2019,0.3800,0.3800,0.3800,00.3800,5000
02/13/2019,0.4400,0.3760,0.4400,00.3760,15800
02/14/2019,0.4000,0.3210,0.4000,00.3210,9700
02/15/2019,0.3310,0.3310,0.3310,00.3310,1200
02/20/2019,0.3800,0.3790,0.3800,00.3790,2500
02/27/2019,0.3500,0.3500,0.3500,,2400
03/04/2019,0.3300,0.3200,0.3300,00.3200,14000
03/05/2019,0.3285,0.3285,0.3285,00.3285,600
03/07/2019,0.3300,0.3300,0.3300,00.3300,500
03/11/2019,0.3800,0.3720,0.3800,00.3720,6500
03/12/2019,0.4000,0.3799,0.3800,00.4000,12900
03/18/2019,0.3800,0.3800,0.3800,00.3800,100
03/25/2019,0.4400,0.3800,0.4205,00.3800,6700
03/26/2019,0.4100,0.4100,0.4100,00.4100,500
04/03/2019,0.4400,0.4400,0.4400,00.4400,100
04/04/2019,0.4100,0.4100,0.4100,00.4100,11300
04/08/2019,0.4200,0.3301,0.3301,00.4200,10300
04/09/2019,0.4000,0.4000,0.4000,00.4000,300
04/10/2019,0.4000,0.4000,0.4000,00.4000,16500
04/15/2019,0.4300,0.4000,0.4300,00.4000,5500
04/16/2019,0.3946,0.3946,0.3946,00.3946,1000
04/18/2019,0.3310,0.3310,0.3310,00.3310,900
04/23/2019,0.3999,0.3999,0.3999,00.3999,300
04/24/2019,0.4000,0.4000,0.4000,00.4000,300
04/26/2019,0.3929,0.3929,0.3929,00.3929,2000
04/29/2019,0.4299,0.3750,0.4299,00.3750,16300
04/30/2019,0.3600,0.3600,0.3600,,1000
05/06/2019,0.3650,0.3650,0.3650,00.3650,600
05/09/2019,0.3350,0.3300,0.3300,00.3350,4300
05/10/2019,0.3300,0.3300,0.3300,00.3300,6000
05/13/2019,0.3970,0.3970,0.3970,00.3970,1200
05/14/2019,0.3334,0.3334,0.3334,00.3334,300
05/15/2019,0.3740,0.3500,0.3740,00.3500,1100
05/17/2019,0.3800,0.3500,0.3500,00.3800,3700
05/29/2019,0.3800,0.3300,0.3300,00.3800,1200
05/30/2019,0.3690,0.3500,0.3690,,8300
06/06/2019,0.3690,0.3160,0.3160,00.3690,5100
06/07/2019,0.3600,0.3600,0.3600,,4700
06/11/2019,0.3590,0.3100,0.3100,00.3590,79600
06/13/2019,0.3600,0.2810,0.3600,00.2810,1200
06/19/2019,0.3600,0.1620,0.3600,00.2964,5500
06/21/2019,0.3590,0.3590,0.3590,00.3590,100
06/26/2019,0.2620,0.2620,0.2620,00.2620,1200
06/27/2019,0.2625,0.2621,0.2625,00.2621,800
06/28/2019,0.3740,0.2625,0.2625,00.3740,1000
07/01/2019,0.2800,0.2700,0.2759,00.2800,1500
07/02/2019,0.2900,0.2900,0.2900,00.2900,100
07/03/2019,0.3090,0.2900,0.2900,00.3090,1700
07/05/2019,0.3550,0.2921,0.2921,00.3480,61600
07/09/2019,0.3970,0.3400,0.3400,00.3550,28100
07/10/2019,0.3400,0.3400,0.3400,00.3400,3500
07/12/2019,0.3210,0.3200,0.3200,00.3210,15000
07/15/2019,0.3400,0.3125,0.3125,00.3400,35300
07/16/2019,0.3150,0.3150,0.3150,00.3150,1000
07/18/2019,0.3100,0.3000,0.3000,00.3100,27000
07/19/2019,0.2900,0.2900,0.2900,00.2900,1000
07/22/2019,0.3400,0.3400,0.3400,00.3400,200
07/23/2019,0.3000,0.3000,0.3000,00.3000,2500
07/24/2019,0.3000,0.3000,0.3000,00.3000,1000
07/25/2019,0.3000,0.3000,0.3000,00.3000,2700
07/26/2019,0.3000,0.3000,0.3000,00.3000,3400
07/30/2019,0.2900,0.2900,0.2900,00.2900,500
07/31/2019,0.3014,0.3014,0.3014,00.3014,300
08/02/2019,0.3100,0.3000,0.3000,00.3100,15000
08/07/2019,0.2940,0.2700,0.2900,00.2940,14600
08/08/2019,0.2767,0.2560,0.2700,00.2767,21800
08/12/2019,0.2700,0.2560,0.2700,00.2560,900
08/13/2019,0.2560,0.2200,0.2200,00.2560,117900
08/14/2019,0.2800,0.2590,0.2700,00.2600,45400
08/15/2019,0.2800,0.2800,0.2800,00.2800,3500
08/16/2019,0.2800,0.2550,0.2800,00.2550,8500
08/19/2019,0.2800,0.2355,0.2800,00.2355,12800
08/20/2019,0.2800,0.2800,0.2800,00.2800,500
08/27/2019,0.2800,0.2800,0.2800,00.2800,6100
08/29/2019,0.2800,0.2455,0.2800,00.2455,3000
09/04/2019,0.2950,0.2800,0.2800,00.2950,3400
09/16/2019,0.2900,0.2400,0.2400,00.2850,4600
09/17/2019,0.2381,0.2355,0.2355,00.2381,8200
09/18/2019,0.2400,0.2400,0.2400,00.2400,2000
09/19/2019,0.2500,0.2410,0.2410,00.2500,33500
09/20/2019,0.2500,0.2420,0.2420,00.2500,26000
09/23/2019,0.2452,0.2410,0.2410,00.2452,4600
09/24/2019,0.2500,0.2500,0.2500,00.2500,500
09/26/2019,0.2421,0.2421,0.2421,00.2421,800
10/01/2019,0.2500,0.2421,0.2500,00.2421,2400
10/02/2019,0.3000,0.2990,0.3000,00.2990,30400
10/03/2019,0.3000,0.2610,0.2800,00.3000,47900
10/04/2019,0.3150,0.2950,0.2950,00.3000,18000
10/07/2019,0.3150,0.3000,0.3000,00.3050,126900
10/08/2019,0.3000,0.2615,0.2800,00.3000,108800
10/09/2019,0.2968,0.2800,0.2960,00.2800,4700
10/11/2019,0.3000,0.2999,0.3000,00.3000,101500
10/15/2019,0.3050,0.3000,0.3050,00.3001,82700
10/16/2019,0.3006,0.3000,0.3006,,30400
10/17/2019,0.3100,0.2816,0.2816,00.3000,23400
10/18/2019,0.3000,0.2900,0.3000,00.2900,55000
10/21/2019,0.2900,0.2850,0.2850,00.2900,22500
10/22/2019,0.2900,0.2800,0.2800,00.2900,15500
10/29/2019,0.2700,0.2700,0.2700,00.2700,400
11/05/2019,0.2890,0.2604,0.2700,00.2890,28700
11/06/2019,0.2700,0.2700,0.2700,00.2700,45000
11/07/2019,0.3100,0.2700,0.3100,00.2700,9100
11/08/2019,0.3100,0.3076,0.3076,00.3100,5900
11/11/2019,0.3100,0.2900,0.2900,00.3100,5500
11/12/2019,0.2900,0.2604,0.2800,00.2900,63100
11/13/2019,0.2701,0.2604,0.2701,00.2604,13000
11/15/2019,0.2701,0.2700,0.2701,00.2700,3000
11/18/2019,0.2701,0.2701,0.2701,00.2701,1600
11/19/2019,0.2700,0.2400,0.2700,00.2550,103900
11/20/2019,0.2700,0.2550,0.2700,00.2550,4000
11/21/2019,0.2700,0.2500,0.2500,00.2500,137000
11/22/2019,0.2450,0.2400,0.2400,00.2450,40000
11/26/2019,0.2551,0.2400,0.2400,00.2400,20600
11/27/2019,0.2600,0.2400,0.2600,00.2400,15700
12/03/2019,0.2600,0.2397,0.2397,00.2600,1600
12/04/2019,0.2397,0.2397,0.2397,00.2397,500
12/05/2019,0.2397,0.2397,0.2397,00.2397,500
12/06/2019,0.2397,0.2397,0.2397,00.2397,500
12/10/2019,0.2600,0.2400,0.2500,00.2600,8300
12/11/2019,0.2500,0.2500,0.2500,00.2500,10900
12/13/2019,0.2500,0.2400,0.2400,,4500
12/16/2019,0.2397,0.2397,0.2397,00.2397,2100
12/18/2019,0.2400,0.2400,0.2400,00.2400,28600
12/20/2019,0.2405,0.2405,0.2405,00.2405,200
12/23/2019,0.2575,0.2450,0.2575,00.2450,5000
12/26/2019,0.2400,0.2400,0.2400,00.2400,7700
12/27/2019,0.2400,0.2400,0.2400,00.2400,4200
12/30/2019,0.2400,0.2400,0.2400,00.2400,11500
01/03/2020,0.2302,0.2302,0.2302,00.2302,100
01/06/2020,0.2400,0.2302,0.2302,00.2400,10000
01/09/2020,0.2400,0.2321,0.2400,00.2321,6600
01/10/2020,0.2600,0.2322,0.2580,00.2323,42500
01/14/2020,0.2511,0.2511,0.2511,00.2511,2600
01/16/2020,0.2511,0.2400,0.2400,00.2511,22500
01/17/2020,0.2401,0.2400,0.2400,00.2401,51800
01/21/2020,0.2500,0.2306,0.2500,00.2306,33700
01/23/2020,0.1990,0.1990,0.1990,00.1990,200
01/27/2020,0.2106,0.2104,0.2105,00.2104,13300
01/28/2020,0.2106,0.2106,0.2106,00.2106,1000
01/30/2020,0.2110,0.2110,0.2110,00.2110,2000
01/31/2020,0.2104,0.2104,0.2104,00.2104,500
02/03/2020,0.2390,0.2104,0.2105,00.2104,9500
02/05/2020,0.2104,0.2104,0.2104,00.2104,500
02/06/2020,0.2200,0.2100,0.2104,00.2104,26400
02/10/2020,0.2300,0.2051,0.2051,00.2300,200
02/11/2020,0.2100,0.2100,0.2100,00.2100,10000
02/12/2020,0.2227,0.1926,0.2110,00.1926,3100
02/14/2020,0.1950,0.1250,0.1550,00.1950,287200
02/18/2020,0.1700,0.1400,0.1666,00.1492,112000
02/21/2020,0.1600,0.1588,0.1590,00.1595,156300
02/24/2020,0.1622,0.1590,0.1590,00.1622,12900
02/25/2020,0.1588,0.1402,0.1402,00.1588,21900
02/28/2020,0.1424,0.1407,0.1424,00.1407,14700
03/02/2020,0.1450,0.1431,0.1450,00.1431,7000
