"Date","Price","Open","High","Low","Vol.","Change %"
"2024-10-01","2.350","2.340","2.350","2.340","23.98K","0.00%"
"2024-09-30","2.350","2.340","2.350","2.340","35.96K","0.43%"
"2024-09-27","2.340","2.340","2.340","2.330","96.86K","0.43%"
"2024-09-26","2.330","2.340","2.340","2.330","63.45K","-0.43%"
"2024-09-25","2.340","2.330","2.340","2.330","109.97K","0.00%"
"2024-09-24","2.340","2.330","2.340","2.330","33.79K","0.43%"
"2024-09-23","2.330","2.330","2.340","2.330","44.30K","-0.43%"
"2024-09-20","2.340","2.330","2.340","2.330","168.04K","0.43%"
"2024-09-19","2.330","2.330","2.340","2.330","36.50K","0.00%"
"2024-09-18","2.330","2.330","2.340","2.330","59.83K","0.00%"
"2024-09-17","2.330","2.330","2.340","2.330","45.42K","0.00%"
"2024-09-16","2.330","2.330","2.340","2.330","57.53K","0.00%"
"2024-09-13","2.330","2.320","2.330","2.320","50.33K","0.43%"
"2024-09-12","2.320","2.330","2.330","2.320","63.00K","0.00%"
"2024-09-11","2.320","2.320","2.330","2.320","46.42K","0.00%"
"2024-09-10","2.320","2.320","2.330","2.320","34.00K","-0.43%"
"2024-09-09","2.330","2.310","2.330","2.310","59.62K","0.87%"
"2024-09-06","2.310","2.310","2.320","2.310","121.38K","0.00%"
"2024-09-05","2.310","2.310","2.320","2.310","95.62K","0.00%"
"2024-09-04","2.310","2.310","2.320","2.310","356.30K","0.00%"
"2024-09-03","2.310","2.310","2.320","2.310","216.78K","-0.43%"
"2024-08-30","2.320","2.320","2.320","2.310","282.38K","0.00%"
"2024-08-29","2.320","2.290","2.330","2.290","384.47K","1.31%"
"2024-08-28","2.290","2.290","2.300","2.290","25.99K","0.00%"
"2024-08-27","2.290","2.290","2.300","2.280","44.13K","-0.43%"
"2024-08-26","2.300","2.290","2.300","2.280","104.41K","0.44%"
"2024-08-23","2.290","2.270","2.300","2.270","141.10K","0.44%"
"2024-08-22","2.280","2.270","2.290","2.270","74.80K","0.44%"
"2024-08-21","2.270","2.280","2.285","2.270","194.03K","0.00%"
"2024-08-20","2.270","2.280","2.290","2.270","302.09K","-0.87%"
"2024-08-19","2.290","2.270","2.290","2.270","102.55K","0.88%"
"2024-08-16","2.270","2.260","2.290","2.260","194.43K","0.00%"
"2024-08-15","2.270","2.260","2.300","2.260","587.07K","0.44%"
"2024-08-14","2.260","2.260","2.280","2.260","584.11K","0.00%"
"2024-08-13","2.260","2.260","2.270","2.260","220.24K","-0.44%"
"2024-08-12","2.270","2.270","2.280","2.260","236.44K","0.00%"
"2024-08-09","2.270","2.260","2.280","2.260","238.18K","0.44%"
"2024-08-08","2.260","2.260","2.270","2.251","221.42K","0.44%"
"2024-08-07","2.250","2.250","2.260","2.250","313.94K","0.45%"
"2024-08-06","2.240","2.240","2.250","2.240","839.76K","0.00%"
"2024-08-05","2.240","2.250","2.260","2.190","2.03M","-0.88%"
"2024-08-02","2.260","2.260","2.270","2.250","1.21M","0.00%"
"2024-08-01","2.260","2.260","2.270","2.260","821.55K","-0.44%"
"2024-07-31","2.270","2.270","2.280","2.260","667.10K","0.00%"
"2024-07-30","2.270","2.280","2.280","2.260","1.08M","0.00%"
"2024-07-29","2.270","2.270","2.280","2.270","1.21M","0.00%"
"2024-07-26","2.270","2.280","2.280","2.270","279.74K","0.00%"
"2024-07-25","2.270","2.270","2.280","2.265","1.44M","0.44%"
"2024-07-24","2.260","2.270","2.280","2.260","1.48M","0.00%"
"2024-07-23","2.260","2.270","2.280","2.260","2.92M","-0.44%"
"2024-07-22","2.270","2.280","2.280","2.260","2.19M","0.44%"
"2024-07-19","2.260","2.260","2.300","2.260","23.99M","146.62%"
"2024-07-18","0.916","0.925","0.933","0.910","104.94K","-1.09%"
"2024-07-17","0.927","0.950","0.950","0.900","119.94K","-2.48%"
"2024-07-16","0.950","0.916","0.974","0.900","298.13K","4.65%"
"2024-07-15","0.908","0.905","0.925","0.897","365.76K","-0.95%"
"2024-07-12","0.917","0.924","0.935","0.901","171.87K","0.94%"
"2024-07-11","0.908","0.909","0.920","0.895","251.41K","1.53%"
"2024-07-10","0.894","0.881","0.904","0.872","251.35K","0.80%"
"2024-07-09","0.887","0.973","0.973","0.771","1.14M","-8.53%"
"2024-07-08","0.970","1.020","1.020","0.954","267.29K","-3.00%"
"2024-07-05","1.000","1.000","1.030","1.000","454.41K","0.00%"
"2024-07-03","1.000","0.990","1.040","0.980","566.25K","1.84%"
"2024-07-02","0.982","0.930","1.010","0.911","766.13K","5.58%"
"2024-07-01","0.930","0.880","0.957","0.865","798.45K","5.68%"
"2024-06-28","0.880","0.850","0.893","0.832","381.26K","3.54%"
"2024-06-27","0.850","0.840","0.856","0.794","250.79K","0.20%"
"2024-06-26","0.848","0.858","0.858","0.811","284.51K","0.86%"
"2024-06-25","0.841","0.849","0.926","0.823","714.31K","-1.41%"
"2024-06-24","0.853","0.790","0.865","0.775","389.25K","6.16%"
"2024-06-21","0.803","0.790","0.830","0.752","530.29K","4.22%"
"2024-06-20","0.771","0.790","0.790","0.735","432.60K","2.80%"
"2024-06-18","0.750","0.750","0.757","0.738","257.41K","-2.69%"
