"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2025","4.450","4.440","4.460","4.440","301.25K","0.23%"
"01/31/2025","4.440","4.440","4.450","4.440","153.06K","0.23%"
"01/30/2025","4.430","4.440","4.440","4.430","132.61K","0.00%"
"01/29/2025","4.430","4.430","4.440","4.430","263.36K","0.00%"
"01/28/2025","4.430","4.430","4.440","4.430","45.65K","-0.23%"
"01/27/2025","4.440","4.430","4.440","4.430","168.74K","0.23%"
"01/24/2025","4.430","4.430","4.440","4.430","76.75K","0.00%"
"01/23/2025","4.430","4.430","4.440","4.420","220.53K","0.23%"
"01/22/2025","4.420","4.420","4.430","4.410","205.45K","0.23%"
"01/21/2025","4.410","4.420","4.430","4.410","212.94K","-0.23%"
"01/17/2025","4.420","4.430","4.430","4.420","120.61K","0.00%"
"01/16/2025","4.420","4.410","4.430","4.410","146.65K","0.00%"
"01/15/2025","4.420","4.420","4.430","4.410","567.96K","0.23%"
"01/14/2025","4.410","4.410","4.430","4.410","345.56K","-0.23%"
"01/13/2025","4.420","4.410","4.430","4.410","281.76K","0.23%"
"01/10/2025","4.410","4.390","4.440","4.390","398.38K","0.23%"
"01/08/2025","4.400","4.370","4.400","4.370","609.74K","0.69%"
"01/07/2025","4.370","4.370","4.390","4.360","384.92K","0.00%"
"01/06/2025","4.370","4.350","4.390","4.350","637.93K","0.23%"
"01/03/2025","4.360","4.340","4.370","4.330","387.97K","0.69%"
"01/02/2025","4.330","4.360","4.380","4.315","2.27M","-0.46%"
"12/31/2024","4.350","4.360","4.400","4.350","1.55M","-0.23%"
"12/30/2024","4.360","4.350","4.360","4.350","226.22K","0.00%"
"12/27/2024","4.360","4.360","4.365","4.350","460.23K","0.00%"
"12/26/2024","4.360","4.360","4.380","4.350","146.62K","-0.23%"
"12/24/2024","4.370","4.360","4.390","4.340","216.11K","-0.23%"
"12/23/2024","4.380","4.370","4.380","4.360","149.44K","0.00%"
"12/20/2024","4.380","4.340","4.400","4.340","536.31K","0.92%"
"12/19/2024","4.340","4.330","4.360","4.320","132.07K","0.23%"
"12/18/2024","4.330","4.340","4.350","4.325","250.93K","-0.23%"
"12/17/2024","4.340","4.330","4.350","4.320","202.62K","0.23%"
"12/16/2024","4.330","4.330","4.350","4.320","122.10K","0.00%"
"12/13/2024","4.330","4.320","4.340","4.310","198.45K","0.23%"
"12/12/2024","4.320","4.350","4.360","4.310","229.86K","-0.69%"
"12/11/2024","4.350","4.370","4.380","4.340","271.40K","-0.23%"
"12/10/2024","4.360","4.330","4.360","4.320","325.94K","0.69%"
"12/09/2024","4.330","4.350","4.385","4.330","269.75K","-0.23%"
"12/06/2024","4.340","4.350","4.370","4.330","165.72K","0.23%"
"12/05/2024","4.330","4.300","4.350","4.300","588.28K","0.00%"
"12/04/2024","4.330","4.290","4.340","4.285","818.02K","1.17%"
"12/03/2024","4.280","4.270","4.310","4.270","799.40K","0.23%"
"12/02/2024","4.270","4.280","4.310","4.260","852.79K","0.00%"
"11/29/2024","4.270","4.280","4.300","4.260","372.66K","-0.47%"
"11/27/2024","4.290","4.320","4.320","4.270","1.09M","-0.46%"
"11/26/2024","4.310","4.320","4.330","4.310","2.07M","-0.23%"
"11/25/2024","4.320","4.330","4.330","4.310","11.09M","35.42%"
"11/22/2024","3.190","3.020","3.190","3.008","636.04K","5.98%"
"11/21/2024","3.010","3.000","3.020","2.970","253.18K","0.67%"
"11/20/2024","2.990","2.930","3.000","2.920","332.71K","1.36%"
"11/19/2024","2.950","3.040","3.070","2.920","407.65K","-3.28%"
"11/18/2024","3.050","3.020","3.079","2.980","540.49K","0.33%"
"11/15/2024","3.040","2.980","3.060","2.940","444.54K","1.33%"
"11/14/2024","3.000","2.960","3.060","2.850","191.41K","0.67%"
"11/13/2024","2.980","3.000","3.050","2.940","469.17K","-1.32%"
"11/12/2024","3.020","3.000","3.045","2.950","543.86K","1.00%"
"11/11/2024","2.990","2.750","2.990","2.750","411.36K","8.73%"
"11/08/2024","2.750","2.760","2.830","2.730","304.35K","0.36%"
"11/07/2024","2.740","2.600","2.770","2.600","256.05K","3.79%"
"11/06/2024","2.640","2.650","2.780","2.570","568.58K","3.53%"
"11/05/2024","2.550","2.580","2.878","2.450","1.73M","19.16%"
"11/04/2024","2.140","2.090","2.190","2.080","472.35K","3.38%"
"11/01/2024","2.070","2.140","2.171","2.050","67.85K","-4.17%"
"10/31/2024","2.160","2.170","2.180","2.080","27.82K","1.41%"
"10/30/2024","2.130","2.210","2.240","2.120","25.78K","-4.48%"
"10/29/2024","2.230","2.230","2.260","2.201","48.51K","-0.89%"
"10/28/2024","2.250","2.250","2.280","2.240","61.61K","-0.44%"
"10/25/2024","2.260","2.230","2.320","2.220","205.06K","0.89%"
"10/24/2024","2.240","2.100","2.240","2.099","147.41K","6.67%"
"10/23/2024","2.100","2.090","2.110","2.070","62.64K","0.96%"
"10/22/2024","2.080","2.130","2.150","2.070","61.47K","-2.80%"
"10/21/2024","2.140","2.080","2.150","2.070","119.18K","2.39%"
"10/18/2024","2.090","2.130","2.143","2.051","110.16K","-1.88%"
"10/17/2024","2.130","2.200","2.215","2.090","48.82K","-4.05%"
"10/16/2024","2.220","2.240","2.270","2.210","34.72K","0.00%"
"10/15/2024","2.220","2.260","2.350","2.180","168.67K","-3.06%"
"10/14/2024","2.290","2.300","2.370","2.290","54.49K","-1.72%"
"10/11/2024","2.330","2.260","2.370","2.260","75.39K","4.48%"
"10/10/2024","2.230","2.300","2.300","2.210","67.36K","-3.88%"
"10/09/2024","2.320","2.315","2.350","2.290","48.59K","-0.22%"
