"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2024","20.10","20.02","20.20","19.96","307.09K","0.00%"
"03/27/2024","20.10","19.46","20.10","19.46","129.61K","3.29%"
"03/26/2024","19.46","19.55","19.56","19.36","55.85K","0.36%"
"03/25/2024","19.39","19.48","19.57","19.37","52.42K","0.10%"
"03/22/2024","19.37","19.84","19.84","19.34","61.08K","-1.97%"
"03/21/2024","19.76","19.72","19.84","19.58","90.91K","1.70%"
"03/20/2024","19.43","18.74","19.59","18.74","160.84K","3.35%"
"03/19/2024","18.80","18.63","18.98","18.63","127.12K","0.97%"
"03/18/2024","18.62","18.75","18.86","18.61","164.94K","-1.06%"
"03/15/2024","18.82","18.55","19.05","18.55","297.31K","1.18%"
"03/14/2024","18.60","19.10","19.10","18.50","100.74K","-2.62%"
"03/13/2024","19.10","18.96","19.28","18.96","146.60K","0.10%"
"03/12/2024","19.08","19.20","19.38","19.00","51.19K","-1.29%"
"03/11/2024","19.33","19.36","19.46","19.21","38.28K","0.00%"
"03/08/2024","19.33","19.62","19.62","19.30","83.69K","0.16%"
"03/07/2024","19.30","19.41","19.58","19.22","95.00K","0.10%"
"03/06/2024","19.28","19.43","19.54","18.77","115.09K","-0.05%"
"03/05/2024","19.29","18.55","19.41","18.50","153.53K","4.05%"
"03/04/2024","18.54","18.79","18.96","18.53","72.54K","-0.64%"
"03/01/2024","18.66","18.77","18.77","18.22","62.20K","-0.48%"
"02/29/2024","18.75","18.90","19.00","18.61","72.57K","1.68%"
"02/28/2024","18.44","18.48","18.72","18.44","50.09K","-1.13%"
"02/27/2024","18.65","18.73","18.80","18.56","42.00K","0.92%"
"02/26/2024","18.48","18.56","18.75","18.39","74.38K","-1.07%"
"02/23/2024","18.68","18.93","19.04","18.68","57.18K","-1.32%"
"02/22/2024","18.93","18.43","18.98","18.43","177.29K","2.16%"
"02/21/2024","18.53","18.04","18.58","17.69","247.38K","2.83%"
"02/20/2024","18.02","17.98","18.34","17.95","93.60K","-0.99%"
"02/16/2024","18.20","18.20","18.35","17.97","90.56K","-0.76%"
"02/15/2024","18.34","17.66","18.40","17.66","78.79K","4.62%"
"02/14/2024","17.53","17.34","17.56","17.10","71.41K","2.34%"
"02/13/2024","17.13","17.52","17.63","16.88","71.23K","-5.31%"
"02/12/2024","18.09","17.85","18.36","17.82","141.92K","1.40%"
"02/09/2024","17.84","17.95","17.95","17.35","79.52K","1.65%"
"02/08/2024","17.55","17.39","17.56","17.35","64.05K","0.34%"
"02/07/2024","17.49","17.30","17.63","17.00","156.43K","0.52%"
"02/06/2024","17.40","17.37","17.63","17.28","97.52K","-0.17%"
"02/05/2024","17.43","17.48","17.60","17.26","105.16K","-1.30%"
"02/02/2024","17.66","17.53","17.94","17.53","86.97K","-1.83%"
"02/01/2024","17.99","18.45","18.45","17.43","110.58K","-1.10%"
"01/31/2024","18.19","18.56","18.85","18.15","89.38K","-3.76%"
"01/30/2024","18.90","19.17","19.25","18.90","30.62K","-1.66%"
"01/29/2024","19.22","18.99","19.22","18.90","111.05K","1.42%"
"01/26/2024","18.95","19.19","19.20","18.89","104.85K","-0.42%"
"01/25/2024","19.03","19.00","19.03","18.59","145.75K","1.22%"
"01/24/2024","18.80","18.83","18.98","18.62","147.16K","1.18%"
"01/23/2024","18.58","19.00","19.00","18.58","78.39K","-1.54%"
"01/22/2024","18.87","18.55","18.87","18.53","92.51K","2.11%"
"01/19/2024","18.48","18.20","18.49","17.99","84.60K","2.44%"
"01/18/2024","18.04","18.08","18.15","17.92","75.57K","0.78%"
