"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2024","19.89","19.63","20.00","19.38","","2.26%"
"03/27/2024","19.45","19.29","19.47","19.18","22.76K","1.83%"
"03/26/2024","19.10","19.10","19.30","19.07","19.57K","-0.47%"
"03/25/2024","19.19","19.37","19.37","19.16","14.58K","0.10%"
"03/22/2024","19.17","19.43","19.43","19.04","32.55K","-0.57%"
"03/21/2024","19.28","19.35","19.41","19.16","35.82K","1.05%"
"03/20/2024","19.08","18.64","19.22","18.30","29.60K","3.36%"
"03/19/2024","18.46","18.75","18.75","18.44","6.94K","-0.75%"
"03/18/2024","18.60","18.95","18.95","18.51","18.77K","-0.53%"
"03/15/2024","18.70","18.45","18.92","18.45","52.33K","0.65%"
"03/14/2024","18.58","18.85","19.01","18.38","24.27K","-2.42%"
"03/13/2024","19.04","19.00","19.28","18.85","10.47K","-0.37%"
"03/12/2024","19.11","19.10","19.46","19.06","19.24K","-1.24%"
"03/11/2024","19.35","19.25","19.45","19.23","34.49K","0.42%"
"03/08/2024","19.27","19.53","19.69","19.25","11.83K","0.21%"
"03/07/2024","19.23","19.58","19.59","18.85","19.12K","0.16%"
"03/06/2024","19.20","19.11","19.56","18.92","23.12K","-0.36%"
"03/05/2024","19.27","18.79","19.37","18.75","14.42K","3.10%"
"03/04/2024","18.69","18.63","18.82","18.58","15.67K","0.75%"
"03/01/2024","18.55","18.81","18.81","18.31","31.39K","-0.75%"
"02/29/2024","18.69","18.63","18.88","18.48","17.80K","3.03%"
"02/28/2024","18.14","18.22","18.50","18.09","42.08K","-1.63%"
"02/27/2024","18.44","18.27","18.49","18.00","28.83K","1.43%"
"02/26/2024","18.18","18.09","18.35","18.00","26.58K","-0.33%"
"02/23/2024","18.24","18.20","18.44","18.13","28.88K","0.50%"
"02/22/2024","18.15","17.85","18.28","17.80","56.58K","1.17%"
"02/21/2024","17.94","17.83","17.94","17.75","20.93K","0.22%"
"02/20/2024","17.90","17.95","18.28","17.82","23.47K","-1.27%"
"02/16/2024","18.13","18.40","18.52","18.05","33.23K","-2.00%"
"02/15/2024","18.50","17.93","18.63","17.88","25.61K","3.47%"
"02/14/2024","17.88","18.05","18.05","17.43","33.21K","2.46%"
"02/13/2024","17.45","17.84","18.15","17.06","50.75K","-4.54%"
"02/12/2024","18.28","17.80","18.68","17.79","46.89K","3.51%"
"02/09/2024","17.66","17.23","17.90","17.23","17.69K","2.08%"
"02/08/2024","17.30","17.13","17.50","17.13","11.23K","0.00%"
"02/07/2024","17.30","17.50","17.51","17.13","18.81K","-1.31%"
"02/06/2024","17.53","18.15","18.16","17.53","16.25K","-3.15%"
"02/05/2024","18.10","18.28","18.32","17.97","14.24K","-1.09%"
"02/02/2024","18.30","18.57","18.74","18.22","18.65K","-1.56%"
"02/01/2024","18.59","19.02","19.27","18.40","27.21K","-4.27%"
"01/31/2024","19.42","20.02","20.09","19.39","26.66K","-3.57%"
"01/30/2024","20.14","20.25","20.40","20.01","33.02K","-0.20%"
"01/29/2024","20.18","20.00","20.28","19.89","14.28K","1.36%"
"01/26/2024","19.91","20.41","20.41","19.91","22.98K","-1.78%"
"01/25/2024","20.27","20.36","20.36","19.95","28.97K","0.75%"
"01/24/2024","20.12","20.15","20.48","20.05","15.11K","1.26%"
"01/23/2024","19.87","20.30","20.30","19.86","17.57K","-0.95%"
"01/22/2024","20.06","20.00","20.10","19.75","19.62K","0.80%"
"01/19/2024","19.90","20.11","20.40","19.75","46.40K","-1.53%"
"01/18/2024","20.21","19.85","20.21","19.83","14.95K","2.07%"
"01/17/2024","19.80","19.62","20.11","19.47","24.88K","-0.65%"
"01/16/2024","19.93","20.45","20.65","19.91","28.09K","-3.53%"
"01/12/2024","20.66","20.84","20.93","20.60","13.60K","-0.29%"
"01/11/2024","20.72","20.51","20.81","20.22","27.39K","0.39%"
"01/10/2024","20.64","20.87","21.18","20.56","17.13K","-1.90%"
"01/09/2024","21.04","21.70","21.70","20.99","24.42K","-2.91%"
"01/08/2024","21.67","21.65","21.99","21.57","28.11K","-0.73%"
"01/05/2024","21.83","21.60","22.18","21.60","71.54K","0.46%"
"01/04/2024","21.73","21.77","21.97","21.61","30.46K","0.00%"
"01/03/2024","21.73","22.24","22.35","21.57","39.98K","-2.69%"
"01/02/2024","22.33","22.10","22.53","22.00","32.25K","-0.09%"
"12/29/2023","22.35","22.30","22.51","22.22","26.21K","-0.40%"
"12/28/2023","22.44","22.30","22.59","22.30","22.02K","0.13%"
"12/27/2023","22.41","22.52","22.54","22.25","31.66K","0.22%"
"12/26/2023","22.36","22.30","22.58","22.15","16.28K","1.08%"
"12/22/2023","22.12","22.40","22.42","22.01","39.49K","-0.23%"
"12/21/2023","22.17","22.20","22.42","22.03","47.31K","0.45%"
"12/20/2023","22.07","21.61","22.89","21.61","40.71K","1.80%"
"12/19/2023","21.68","20.97","21.89","20.97","22.25K","4.33%"
"12/18/2023","20.78","20.55","21.10","20.50","28.22K","0.87%"
"12/15/2023","20.60","20.70","21.00","20.29","160.97K","0.49%"
"12/14/2023","20.50","20.21","20.75","20.04","50.01K","1.33%"
"12/13/2023","20.23","19.04","20.39","19.00","50.71K","6.42%"
"12/12/2023","19.01","19.25","19.40","18.86","26.00K","-0.99%"
"12/11/2023","19.20","19.61","19.69","18.91","37.42K","-1.49%"
"12/08/2023","19.49","19.36","19.50","19.29","9.42K","1.67%"
"12/07/2023","19.17","19.11","19.41","18.92","30.59K","1.08%"
"12/06/2023","18.97","18.87","19.49","18.85","26.66K","1.74%"
"12/05/2023","18.64","18.37","18.99","18.16","21.76K","1.75%"
"12/04/2023","18.32","17.88","18.36","17.88","43.51K","2.98%"
"12/01/2023","17.79","17.34","17.89","17.09","20.92K","3.37%"
"11/30/2023","17.21","17.31","17.44","17.00","9.80K","-1.38%"
"11/29/2023","17.45","17.50","17.50","17.28","10.49K","1.87%"
"11/28/2023","17.13","17.68","17.68","16.94","25.84K","-2.45%"
"11/27/2023","17.56","17.80","17.85","17.52","23.08K","-1.35%"
