"Date","Price","Open","High","Low","Vol.","Change %"
"2023-10-11","10.490","10.580","10.580","10.490","0.50K","-0.19%"
"2023-10-09","10.510","10.510","10.510","10.510","0.10K","0.48%"
"2023-10-03","10.460","10.480","10.500","10.460","327.15K","0.00%"
"2023-09-29","10.460","10.460","10.460","10.460","0.10K","0.00%"
"2023-09-26","10.460","10.460","10.460","10.460","0.15K","0.00%"
"2023-09-25","10.460","10.460","10.460","10.460","0.20K","-0.29%"
"2023-09-21","10.490","10.490","10.490","10.490","0.18K","0.29%"
"2023-09-19","10.460","10.550","10.550","10.450","2.40K","0.10%"
"2023-09-18","10.450","10.467","10.467","10.450","1.21K","0.00%"
"2023-09-15","10.450","10.480","10.630","10.430","20.22K","0.38%"
"2023-09-13","10.410","10.410","10.410","10.410","0.41K","-0.38%"
"2023-09-12","10.450","10.410","10.450","10.410","2.04K","0.58%"
"2023-09-11","10.390","10.410","10.420","10.390","17.95K","-0.10%"
"2023-09-08","10.400","10.405","10.405","10.390","1.38K","0.10%"
"2023-09-06","10.390","10.380","10.390","10.370","10.30K","0.10%"
"2023-09-05","10.380","10.545","10.545","10.370","16.49K","-1.96%"
"2023-09-01","10.587","10.500","10.587","10.500","0.86K","1.70%"
"2023-08-31","10.410","10.400","10.600","10.400","5.68K","-0.67%"
"2023-08-30","10.480","10.620","10.630","10.480","176.49K","0.48%"
"2023-08-29","10.430","10.440","10.750","10.430","819.67K","0.00%"
"2023-08-28","10.430","10.370","10.510","10.350","419.14K","0.77%"
"2023-08-25","10.350","10.430","10.430","10.310","6.55K","-0.77%"
"2023-08-24","10.430","9.520","10.450","9.520","10.21K","-0.29%"
"2023-08-23","10.460","10.460","10.460","10.460","0.51K","-0.19%"
"2023-08-22","10.480","10.460","10.490","10.460","23.22K","0.19%"
"2023-08-21","10.460","10.480","10.480","10.460","0.70K","-0.19%"
"2023-08-18","10.480","10.450","10.480","10.450","5.14K","-0.10%"
"2023-08-17","10.490","10.490","10.490","10.470","89.41K","0.19%"
"2023-08-16","10.470","10.520","10.530","10.460","35.60K","-0.57%"
"2023-08-15","10.530","10.500","10.750","10.500","17.80K","0.29%"
"2023-08-14","10.500","10.500","10.500","10.500","0.10K","0.10%"
"2023-08-11","10.490","10.500","10.500","10.490","1.88K","0.00%"
"2023-08-09","10.490","10.490","10.490","10.490","0.11K","0.00%"
"2023-08-08","10.490","10.490","10.490","10.490","0.22K","0.37%"
"2023-08-07","10.452","10.452","10.452","10.452","0.21K","-0.27%"
"2023-08-04","10.480","10.490","10.490","10.460","0.33K","0.10%"
"2023-08-03","10.470","10.470","10.470","10.470","0.11K","0.10%"
"2023-08-02","10.460","10.460","10.460","10.460","0.82K","0.29%"
"2023-07-31","10.430","10.430","10.430","10.430","1.63K","-0.48%"
"2023-07-27","10.480","10.450","10.480","10.450","50.74K","0.38%"
"2023-07-26","10.440","10.450","10.450","10.440","2.18K","0.00%"
"2023-07-25","10.440","10.440","10.440","10.435","93.30K","0.19%"
"2023-07-24","10.420","10.440","10.440","10.420","12.68K","-0.10%"
"2023-07-21","10.430","10.430","10.430","10.430","83.71K","0.19%"
"2023-07-20","10.410","10.410","10.410","10.410","2.30K","0.19%"
"2023-07-19","10.390","10.410","10.410","10.390","0.21K","-0.10%"
"2023-07-18","10.400","10.405","10.410","10.400","4.46K","0.10%"
"2023-07-17","10.390","10.410","10.410","10.390","5.02K","0.00%"
"2023-07-13","10.390","10.410","10.410","10.390","0.44K","-0.14%"
"2023-07-12","10.405","10.405","10.405","10.405","0.46K","0.14%"
"2023-07-07","10.390","10.400","10.400","10.390","1.49K","0.00%"
"2023-07-06","10.390","10.390","10.390","10.390","0.16K","0.00%"
"2023-07-05","10.390","10.380","10.390","10.380","36.25K","0.10%"
"2023-06-30","10.380","10.380","10.380","10.380","7.26K","0.05%"
"2023-06-29","10.375","10.375","10.375","10.375","0.19K","-0.05%"
"2023-06-28","10.380","10.370","10.380","10.370","13.46K","0.19%"
"2023-06-27","10.360","10.370","10.370","10.360","9.85K","-0.05%"
"2023-06-26","10.365","10.370","10.370","10.365","10.70K","0.05%"
"2023-06-23","10.360","10.360","10.360","10.360","6.81K","0.00%"
"2023-06-22","10.360","10.360","10.360","10.360","0.14K","0.00%"
"2023-06-21","10.360","10.360","10.360","10.360","0.21K","0.00%"
"2023-06-20","10.360","10.360","10.360","10.350","2.90K","0.10%"
"2023-06-16","10.350","10.360","10.360","10.350","0.62K","-0.10%"
"2023-06-15","10.360","10.360","10.360","10.350","5.50K","0.10%"
"2023-06-14","10.350","10.350","10.355","10.350","4.27K","0.10%"
"2023-06-13","10.340","10.350","10.350","10.340","0.73K","0.00%"
"2023-06-12","10.340","10.340","10.340","10.340","0.40K","0.00%"
"2023-06-09","10.340","10.350","10.350","10.340","2.25K","-0.10%"
"2023-06-08","10.350","10.340","10.350","10.340","16.41K","0.00%"
"2023-06-06","10.350","10.340","10.350","10.340","40.56K","0.19%"
"2023-06-05","10.330","10.350","10.350","10.330","2.55K","-0.05%"
"2023-06-02","10.335","10.325","10.345","10.320","419.88K","0.15%"
"2023-06-01","10.320","10.320","10.320","10.320","7.73K","0.00%"
"2023-05-31","10.320","10.330","10.330","10.310","141.22K","-0.10%"
"2023-05-30","10.330","10.330","10.330","10.330","12.04K","0.10%"
"2023-05-26","10.320","10.320","10.320","10.320","52.26K","0.00%"
"2023-05-25","10.320","10.310","10.330","10.310","10.41K","0.00%"
"2023-05-23","10.320","10.313","10.325","10.313","5.72K","0.19%"
"2023-05-22","10.300","10.300","10.300","10.300","0.40K","0.00%"
"2023-05-19","10.300","10.325","10.325","10.300","0.72K","-0.15%"
"2023-05-17","10.315","10.315","10.315","10.315","2.35K","0.05%"
"2023-05-16","10.310","10.300","10.320","10.300","25.23K","-0.10%"
"2023-05-12","10.320","10.420","10.420","10.320","1.41K","0.00%"
"2023-05-09","10.320","10.430","10.430","10.320","1.10K","0.00%"
"2023-05-04","10.320","10.430","10.430","10.315","8.50K","0.10%"
"2023-05-03","10.310","10.290","10.340","10.290","3.95K","0.19%"
"2023-05-02","10.290","10.330","10.330","10.290","0.45K","-0.39%"
"2023-05-01","10.330","10.330","10.330","10.330","0.34K","-0.10%"
"2023-04-28","10.340","10.340","10.340","10.340","0.92K","0.63%"
"2023-04-27","10.275","10.260","10.275","10.260","6.01K","0.15%"
"2023-04-25","10.260","10.240","10.275","10.240","47.35K","0.00%"
"2023-04-24","10.260","10.275","10.275","10.260","69.41K","0.00%"
"2023-04-21","10.260","10.380","10.380","10.240","18.66K","-0.29%"
"2023-04-20","10.290","10.240","10.290","10.230","36.38K","0.49%"
"2023-04-19","10.240","10.240","10.250","10.240","453.64K","0.00%"
"2023-04-18","10.240","10.230","10.270","10.230","26.40K","0.10%"
"2023-04-14","10.230","10.200","10.230","10.200","1.22K","0.29%"
"2023-04-13","10.200","10.198","10.200","10.198","0.54K","0.10%"
"2023-04-11","10.190","10.190","10.190","10.180","10.55K","0.20%"
"2023-04-10","10.170","10.160","10.190","10.160","9.84K","0.10%"
"2023-04-05","10.160","10.140","10.160","10.140","12.33K","0.20%"
"2023-04-04","10.140","10.140","10.160","10.140","7.42K","0.00%"
"2023-04-03","10.140","10.140","10.160","10.140","3.86K","0.00%"
"2023-03-31","10.140","10.168","10.168","10.140","2.05K","0.00%"
"2023-03-30","10.140","10.165","10.170","10.140","2.31K","0.00%"
"2023-03-29","10.140","10.170","10.170","10.140","4.33K","-0.10%"
"2023-03-28","10.150","10.170","10.170","10.145","16.57K","0.00%"
"2023-03-27","10.150","10.210","10.210","10.150","20.89K","-0.39%"
"2023-03-24","10.190","10.190","10.190","10.190","0.37K","0.10%"
"2023-03-23","10.180","10.180","10.180","10.180","0.50K","0.00%"
"2023-03-22","10.180","10.300","10.300","10.160","8.00K","0.20%"
"2023-03-21","10.160","10.200","10.200","10.160","2.88K","-0.49%"
"2023-03-20","10.210","10.290","10.290","10.185","1.59K","0.39%"
"2023-03-17","10.170","10.250","10.250","10.170","0.71K","0.00%"
"2023-03-16","10.170","10.170","10.180","10.170","0.82K","-0.20%"
"2023-03-14","10.190","10.170","10.200","10.160","27.24K","0.20%"
"2023-03-13","10.170","10.158","10.200","10.158","6.20K","0.20%"
"2023-03-10","10.150","10.170","10.175","10.150","1.87K","-0.29%"
"2023-03-09","10.180","10.190","10.190","10.170","2.16K","0.00%"
"2023-03-08","10.180","10.180","10.190","10.180","2.85K","0.00%"
"2023-03-07","10.180","10.250","10.250","10.180","14.56K","0.10%"
"2023-03-06","10.170","10.170","10.180","10.170","6.69K","0.00%"
"2023-03-03","10.170","10.250","10.250","10.160","10.46K","0.10%"
