"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2024","27.99","28.60","29.40","27.86","156.67K","-2.13%"
"10/08/2024","28.60","28.19","29.18","28.19","57.85K","1.53%"
"10/07/2024","28.17","28.17","28.35","28.14","5.28K","-0.21%"
"10/04/2024","28.23","27.16","28.25","27.16","18.88K","3.90%"
"10/03/2024","27.17","27.05","27.51","27.05","1.24K","-0.59%"
"10/02/2024","27.33","27.08","27.33","26.60","1.43K","-0.87%"
"10/01/2024","27.57","27.31","27.57","27.20","2.15K","-1.18%"
"09/30/2024","27.90","27.83","28.03","27.60","8.46K","-0.75%"
"09/27/2024","28.11","27.40","28.11","27.40","16.00K","5.12%"
"09/26/2024","26.74","26.72","26.74","26.72","1.68K","0.64%"
"09/25/2024","26.57","26.00","26.57","25.85","3.14K","3.39%"
"09/24/2024","25.70","26.44","26.44","25.61","1.88K","-3.02%"
"09/23/2024","26.50","26.77","26.77","26.50","1.78K","-1.63%"
"09/20/2024","26.94","26.39","27.25","26.39","11.47K","-1.14%"
"09/19/2024","27.25","25.75","27.25","25.75","2.11K","2.79%"
"09/18/2024","26.51","25.84","26.99","25.80","3.91K","1.88%"
"09/17/2024","26.02","25.15","26.06","25.11","3.44K","3.46%"
"09/16/2024","25.15","25.18","25.50","25.00","2.64K","-1.95%"
"09/13/2024","25.65","25.00","25.70","24.95","9.94K","2.68%"
"09/11/2024","24.98","25.09","25.67","24.69","4.00K","-0.04%"
"09/10/2024","24.99","24.90","25.14","24.80","1.68K","1.34%"
"09/09/2024","24.66","25.30","26.42","24.56","9.15K","-3.29%"
"09/06/2024","25.50","26.05","26.05","25.45","2.48K","-2.49%"
"09/05/2024","26.15","26.43","26.51","25.66","9.87K","-2.72%"
"09/04/2024","26.88","26.66","26.95","26.63","6.44K","0.00%"
"09/03/2024","26.88","27.06","27.06","26.06","5.30K","0.07%"
"08/30/2024","26.86","26.78","27.00","25.71","3.57K","-0.15%"
"08/29/2024","26.90","26.77","26.90","26.77","0.46K","-0.15%"
"08/28/2024","26.94","26.38","26.94","26.35","2.70K","0.71%"
"08/27/2024","26.75","26.46","26.75","26.10","3.13K","1.44%"
"08/26/2024","26.37","26.70","26.94","26.25","4.17K","-1.27%"
"08/23/2024","26.71","25.70","26.80","25.70","9.04K","4.09%"
"08/22/2024","25.66","25.34","25.66","25.21","8.49K","0.04%"
"08/21/2024","25.65","25.23","25.65","25.23","5.19K","1.79%"
"08/20/2024","25.20","25.35","25.69","25.00","7.99K","-2.02%"
"08/16/2024","25.72","25.53","25.72","25.53","3.79K","1.30%"
"08/15/2024","25.39","24.60","25.53","24.55","12.76K","2.67%"
"08/13/2024","24.73","24.59","24.73","24.59","1.78K","4.28%"
"08/12/2024","23.72","24.54","24.54","23.72","0.66K","-5.39%"
"08/09/2024","25.07","24.89","25.55","24.58","6.27K","3.79%"
"08/08/2024","24.15","24.15","24.15","24.15","0.33K","0.62%"
"08/07/2024","24.00","23.97","24.01","23.61","6.21K","0.76%"
"08/06/2024","23.82","23.94","23.94","23.81","2.03K","-0.33%"
"08/05/2024","23.90","23.73","24.32","23.73","2.44K","-6.49%"
"08/01/2024","25.56","26.81","26.81","25.56","1.42K","-3.18%"
"07/31/2024","26.40","26.55","26.90","26.07","44.16K","0.00%"
"07/30/2024","26.40","26.49","26.53","25.85","5.53K","-0.09%"
"07/29/2024","26.42","26.10","26.70","26.10","2.31K","0.09%"
"07/26/2024","26.40","26.60","26.60","26.01","1.16K","-0.19%"
"07/25/2024","26.45","26.44","26.61","26.02","2.67K","-0.60%"
"07/24/2024","26.61","26.64","26.72","26.61","2.51K","0.34%"
"07/23/2024","26.52","26.38","26.65","26.38","5.25K","0.53%"
"07/22/2024","26.38","26.07","26.49","26.07","6.87K","4.27%"
"07/19/2024","25.30","25.49","26.21","25.30","16.33K","-2.43%"
"07/18/2024","25.93","26.08","26.09","25.93","0.79K","-1.63%"
"07/17/2024","26.36","26.14","26.38","25.76","7.83K","1.35%"
"07/16/2024","26.01","25.23","26.14","25.23","13.76K","4.54%"
"07/15/2024","24.88","24.74","25.00","24.72","2.69K","2.81%"
"07/12/2024","24.20","24.64","24.67","23.45","9.90K","-0.82%"
"07/11/2024","24.40","23.16","24.40","23.10","17.31K","6.69%"
"07/10/2024","22.87","22.63","23.05","22.50","10.14K","2.69%"
"07/09/2024","22.27","22.21","22.27","22.27","0.13K","1.32%"
"07/08/2024","21.98","22.15","22.15","21.98","0.37K","1.29%"
"07/05/2024","21.70","22.15","22.15","21.70","0.29K","-3.77%"
"07/03/2024","22.55","22.66","22.55","22.55","0.12K","-1.53%"
"07/02/2024","22.90","22.95","23.12","22.90","6.12K","1.15%"
"07/01/2024","22.64","22.75","23.02","22.64","5.75K","-1.09%"
"06/28/2024","22.89","21.52","22.99","21.43","25.63K","6.71%"
