"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2025","69.18","68.68","69.41","68.14","323.21K","0.83%"
"08/04/2025","68.61","68.01","68.80","67.71","282.61K","1.43%"
"08/01/2025","67.64","68.83","69.11","67.25","455.86K","-1.59%"
"07/31/2025","68.73","69.50","70.05","68.68","373.61K","-1.79%"
"07/30/2025","69.98","70.80","71.10","69.66","616.55K","-0.86%"
"07/29/2025","70.59","69.53","70.65","69.21","409.91K","2.51%"
"07/28/2025","68.86","69.43","70.00","68.79","368.07K","-1.35%"
"07/25/2025","69.80","69.75","69.86","68.93","326.66K","0.52%"
"07/24/2025","69.44","69.59","70.20","69.37","349.12K","-1.10%"
"07/23/2025","70.21","71.22","71.22","69.92","378.44K","-0.48%"
"07/22/2025","70.55","69.22","70.63","69.15","381.89K","2.41%"
"07/21/2025","68.89","69.00","69.46","68.60","366.72K","0.19%"
"07/18/2025","68.76","69.61","69.76","68.49","391.62K","-0.30%"
"07/17/2025","68.97","68.79","69.45","68.59","247.82K","0.04%"
"07/16/2025","68.94","68.74","69.48","68.13","280.50K","0.42%"
"07/15/2025","68.65","70.87","71.18","68.64","404.16K","-2.65%"
"07/14/2025","70.52","70.49","71.00","70.10","354.10K","-0.03%"
"07/11/2025","70.54","70.42","70.89","70.00","450.23K","-0.82%"
"07/10/2025","71.12","70.00","71.59","69.83","522.43K","1.51%"
"07/09/2025","70.06","69.68","70.11","69.18","400.10K","1.08%"
"07/08/2025","69.31","68.60","69.95","68.52","525.23K","0.89%"
"07/07/2025","68.70","68.63","69.29","68.15","491.71K","-0.30%"
"07/03/2025","68.91","68.82","69.25","68.54","227.63K","-0.12%"
"07/02/2025","68.99","68.34","69.12","67.65","388.64K","1.11%"
"07/01/2025","68.23","67.33","68.85","66.86","526.63K","1.08%"
"06/30/2025","67.50","67.54","67.72","66.46","607.59K","-0.47%"
"06/27/2025","67.82","67.35","68.63","66.81","578.53K","0.85%"
"06/26/2025","67.25","66.50","67.42","65.91","465.30K","1.94%"
"06/25/2025","65.97","68.05","68.18","65.72","640.76K","-3.51%"
"06/24/2025","68.37","67.05","68.49","66.94","610.28K","2.43%"
"06/23/2025","66.75","68.19","68.43","65.25","1.03M","-3.62%"
"06/20/2025","69.26","69.67","70.34","69.04","530.74K","-0.19%"
"06/18/2025","69.39","69.31","70.15","69.27","346.48K","0.12%"
"06/17/2025","69.31","70.00","70.51","69.25","377.27K","-1.74%"
