"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2025","124.17","124.22","124.31","124.11","8.32M","-0.02%"
"04/25/2025","124.19","124.06","124.19","124.05","1.37M","0.08%"
"04/24/2025","124.09","124.03","124.10","124.00","1.40M","0.06%"
"04/23/2025","124.01","124.07","124.10","123.90","2.82M","0.06%"
"04/22/2025","123.94","123.79","124.02","123.72","2.88M","0.23%"
"04/21/2025","123.65","123.74","123.81","123.45","1.36M","-0.16%"
"04/17/2025","123.85","123.20","123.85","123.17","2.35M","0.62%"
"04/16/2025","123.09","123.01","123.25","122.96","1.35M","-0.03%"
"04/15/2025","123.13","123.50","123.50","123.00","1.83M","-0.20%"
"04/14/2025","123.38","123.26","123.47","123.15","1.50M","0.19%"
"04/11/2025","123.15","123.00","123.29","122.67","2.00M","0.20%"
"04/10/2025","122.90","122.43","123.08","122.36","2.44M","-0.08%"
"04/09/2025","123.00","122.08","123.50","121.44","4.08M","1.15%"
"04/08/2025","121.60","122.80","122.99","121.16","3.96M","-0.41%"
"04/07/2025","122.10","122.00","123.63","121.50","4.22M","-0.27%"
"04/04/2025","122.43","123.46","123.59","121.83","7.91M","-0.98%"
"04/03/2025","123.64","123.72","123.81","123.53","7.86M","-0.13%"
"04/02/2025","123.80","123.68","123.85","123.68","2.92M","0.02%"
"04/01/2025","123.78","123.73","123.78","123.71","3.76M","0.06%"
"03/31/2025","123.70","123.85","123.88","123.64","6.37M","-0.10%"
"03/28/2025","123.82","123.86","123.88","123.79","4.14M","-0.03%"
"03/27/2025","123.86","123.82","123.90","123.81","4.61M","0.02%"
"03/26/2025","123.84","123.79","123.89","123.79","1.95M","0.03%"
"03/25/2025","123.80","123.77","123.88","123.77","2.67M","-0.02%"
"03/24/2025","123.82","123.81","123.89","123.69","4.47M","0.04%"
"03/21/2025","123.77","123.80","123.90","123.73","11.31M","-0.05%"
"03/20/2025","123.83","123.83","123.90","123.74","21.75M","1.89%"
"03/19/2025","121.53","121.53","121.84","121.25","999.95K","-0.21%"
"03/18/2025","121.79","122.00","122.22","121.18","1.38M","1.58%"
"03/17/2025","119.90","118.10","120.00","118.10","1.05M","1.32%"
"03/14/2025","118.34","118.44","119.03","117.13","869.53K","0.31%"
"03/13/2025","117.97","118.86","119.35","117.63","1.11M","-0.61%"
"03/12/2025","118.70","119.30","119.79","118.67","1.07M","-0.38%"
"03/11/2025","119.15","119.20","119.65","118.00","1.82M","0.53%"
"03/10/2025","118.52","120.60","120.80","118.39","4.68M","6.68%"
"03/07/2025","111.10","111.40","112.83","109.69","535.89K","-0.83%"
"03/06/2025","112.03","112.75","114.21","111.28","601.73K","-1.62%"
"03/05/2025","113.88","112.61","114.09","111.91","382.67K","2.13%"
"03/04/2025","111.51","112.80","113.59","110.79","736.26K","-1.24%"
"03/03/2025","112.91","115.58","116.61","112.61","571.55K","-2.17%"
"02/28/2025","115.42","117.13","117.13","114.03","789.71K","0.09%"
"02/27/2025","115.32","118.25","118.25","115.19","543.29K","-0.59%"
"02/26/2025","116.00","115.70","117.00","115.50","512.71K","-0.06%"
"02/25/2025","116.07","116.57","117.50","115.55","494.81K","0.56%"
"02/24/2025","115.42","117.50","117.50","115.21","743.54K","-1.05%"
"02/21/2025","116.64","120.48","120.48","116.19","1.03M","-2.45%"
"02/20/2025","119.57","118.88","119.69","118.12","567.11K","0.30%"
"02/19/2025","119.21","118.16","119.42","118.00","540.51K","0.35%"
"02/18/2025","118.79","119.35","120.18","118.50","722.17K","-0.43%"
"02/14/2025","119.30","119.74","119.89","119.14","474.89K","0.07%"
"02/13/2025","119.22","119.61","120.55","118.66","811.70K","0.03%"
"02/12/2025","119.19","118.27","119.82","118.01","485.82K","-0.21%"
"02/11/2025","119.44","118.39","119.90","118.19","478.52K","0.73%"
"02/10/2025","118.57","120.23","120.72","118.51","716.05K","-0.94%"
"02/07/2025","119.70","120.15","121.15","119.05","936.19K","-0.66%"
"02/06/2025","120.50","119.78","121.42","119.55","1.09M","1.29%"
"02/05/2025","118.97","118.38","119.15","117.85","758.18K","0.43%"
"02/04/2025","118.46","118.35","118.88","117.40","587.51K","0.82%"
"02/03/2025","117.50","117.25","118.88","117.00","737.11K","-0.71%"
"01/31/2025","118.34","118.78","119.64","118.33","832.13K","-0.67%"
"01/30/2025","119.14","119.64","119.87","118.30","1.03M","0.62%"
"01/29/2025","118.40","119.30","119.82","118.33","1.21M","-0.73%"
"01/28/2025","119.27","119.60","120.52","119.03","1.68M","-0.23%"
"01/27/2025","119.55","119.73","120.70","119.25","1.96M","0.95%"
"01/24/2025","118.42","115.69","120.00","115.65","1.30M","1.62%"
"01/23/2025","116.53","115.74","117.68","115.74","924.84K","-0.01%"
"01/22/2025","116.54","116.17","116.75","115.25","858.00K","0.42%"
"01/21/2025","116.05","116.55","117.84","115.38","928.08K","0.11%"
"01/17/2025","115.92","116.11","116.98","115.00","1.16M","1.15%"
"01/16/2025","114.60","117.00","117.75","114.49","2.02M","-2.20%"
"01/15/2025","117.18","121.00","121.22","117.04","6.31M","7.65%"
"01/14/2025","108.85","107.00","109.23","106.85","620.93K","3.23%"
"01/13/2025","105.44","101.30","105.49","100.63","590.53K","3.27%"
"01/10/2025","102.10","101.85","103.29","101.47","476.83K","-1.52%"
"01/08/2025","103.68","102.28","103.74","100.22","451.89K","1.57%"
"01/07/2025","102.08","102.30","103.67","100.21","521.01K","0.10%"
"01/06/2025","101.98","102.44","103.98","101.72","346.23K","-0.60%"
"01/03/2025","102.60","100.71","103.00","100.02","416.66K","2.11%"
"01/02/2025","100.48","101.77","102.61","99.64","457.01K","-1.08%"
"12/31/2024","101.58","100.36","102.21","100.07","686.51K","2.05%"
"12/30/2024","99.54","99.92","100.24","98.49","439.65K","-0.78%"
"12/27/2024","100.32","100.79","101.82","99.70","756.71K","-1.59%"
"12/26/2024","101.94","100.56","102.27","100.17","302.70K","0.63%"
"12/24/2024","101.30","101.99","102.19","100.45","162.20K","-0.02%"
"12/23/2024","101.32","101.05","102.19","100.80","538.16K","-0.24%"
"12/20/2024","101.56","100.13","103.10","100.13","1.23M","0.18%"
"12/19/2024","101.38","102.39","104.32","100.44","537.41K","-0.03%"
"12/18/2024","101.41","105.71","106.48","100.55","666.90K","-3.71%"
"12/17/2024","105.32","104.39","105.57","103.93","478.04K","0.02%"
"12/16/2024","105.30","106.05","107.25","105.00","751.00K","-0.99%"
"12/13/2024","106.35","107.55","107.55","105.83","394.03K","-1.48%"
"12/12/2024","107.95","108.84","109.24","107.12","431.24K","-0.86%"
"12/11/2024","108.89","110.31","111.00","108.82","372.27K","0.04%"
"12/10/2024","108.85","109.28","110.26","107.81","420.21K","-0.89%"
"12/09/2024","109.83","112.52","112.64","109.72","532.52K","-1.56%"
"12/06/2024","111.57","113.90","114.38","111.44","497.79K","-1.35%"
"12/05/2024","113.10","114.05","114.41","112.44","384.89K","-0.46%"
"12/04/2024","113.62","112.94","114.50","112.38","587.09K","0.19%"
"12/03/2024","113.41","112.58","114.12","111.98","378.23K","1.00%"
"12/02/2024","112.29","113.29","113.46","111.44","647.23K","-0.65%"
"11/29/2024","113.02","114.40","114.92","112.93","210.88K","0.20%"
"11/27/2024","112.79","113.23","113.87","111.96","396.53K","0.24%"
"11/26/2024","112.52","112.99","112.99","111.13","518.30K","-1.10%"
"11/25/2024","113.77","112.75","114.72","112.39","883.58K","1.42%"
"11/22/2024","112.18","109.41","112.65","109.00","922.29K","3.32%"
"11/21/2024","108.58","109.11","110.83","108.46","956.06K","-0.33%"
"11/20/2024","108.94","109.01","110.21","108.14","611.07K","-0.27%"
"11/19/2024","109.24","110.00","110.63","106.84","1.88M","0.67%"
"11/18/2024","108.51","99.28","116.30","98.90","3.22M","9.88%"
"11/15/2024","98.75","101.44","101.44","98.46","547.55K","-2.18%"
"11/14/2024","100.95","102.74","103.27","100.71","785.76K","-1.40%"
"11/13/2024","102.38","104.80","105.78","102.10","803.20K","-1.42%"
"11/12/2024","103.85","104.54","105.13","103.48","922.22K","-1.29%"
"11/11/2024","105.21","104.84","105.84","104.19","684.20K","1.90%"
"11/08/2024","103.25","102.52","104.15","101.83","716.71K","1.02%"
"11/07/2024","102.21","100.63","102.89","99.39","757.02K","1.48%"
"11/06/2024","100.72","98.83","102.82","97.96","1.14M","6.05%"
"11/05/2024","94.97","92.55","95.06","92.50","383.44K","1.62%"
"11/04/2024","93.46","92.32","95.28","92.23","457.03K","0.13%"
"11/01/2024","93.34","91.71","94.18","91.71","653.84K","1.38%"
"10/31/2024","92.07","98.25","99.77","91.47","1.35M","-3.56%"
"10/30/2024","95.47","92.87","95.91","92.87","710.96K","2.51%"
"10/29/2024","93.13","93.28","94.09","92.62","680.71K","-1.81%"
"10/28/2024","94.85","94.53","95.64","94.25","900.01K","1.60%"
"10/25/2024","93.36","95.54","95.95","93.28","652.25K","-0.99%"
