"Date","Price","Open","High","Low","Vol.","Change %"
"2025-03-14","2.810","2.760","2.900","2.760","45.13K","3.31%"
"2025-03-13","2.720","2.840","2.945","2.710","681.35K","-5.23%"
"2025-03-12","2.870","2.810","2.940","2.780","110.39K","3.99%"
"2025-03-11","2.760","2.730","2.900","2.660","1.05M","1.10%"
"2025-03-10","2.730","3.030","3.030","2.690","121.98K","-11.94%"
"2025-03-07","3.100","2.740","3.100","2.711","184.98K","11.91%"
"2025-03-06","2.770","2.810","2.910","2.684","149.31K","-4.15%"
"2025-03-05","2.890","2.860","2.930","2.750","73.09K","1.76%"
"2025-03-04","2.840","2.650","2.910","2.600","154.60K","4.41%"
"2025-03-03","2.720","3.080","3.180","2.700","208.88K","-5.56%"
"2025-02-28","2.880","2.690","2.900","2.650","155.10K","6.27%"
"2025-02-27","2.710","2.760","2.920","2.700","245.74K","-1.81%"
"2025-02-26","2.760","2.770","2.840","2.725","87.73K","-0.18%"
"2025-02-25","2.765","3.010","3.010","2.670","305.15K","-8.14%"
"2025-02-24","3.010","3.050","3.100","2.920","366.49K","-2.27%"
"2025-02-21","3.080","3.350","3.420","3.000","319.75K","-6.67%"
"2025-02-20","3.300","3.360","3.434","3.270","94.94K","-2.22%"
"2025-02-19","3.375","3.350","3.500","3.350","87.59K","-0.15%"
"2025-02-18","3.380","3.320","3.525","3.310","139.61K","0.90%"
"2025-02-14","3.350","3.350","3.450","3.340","99.49K","0.00%"
"2025-02-13","3.350","3.250","3.410","3.230","90.00K","3.08%"
"2025-02-12","3.250","3.070","3.350","3.070","117.06K","3.17%"
"2025-02-11","3.150","3.280","3.350","3.130","119.28K","-5.12%"
"2025-02-10","3.320","3.460","3.503","3.290","252.10K","-1.92%"
"2025-02-07","3.385","3.450","3.630","3.380","145.45K","-0.15%"
"2025-02-06","3.390","3.460","3.600","3.372","199.57K","-2.02%"
"2025-02-05","3.460","3.660","3.660","3.455","135.85K","-5.46%"
"2025-02-04","3.660","3.490","3.690","3.490","85.55K","3.98%"
"2025-02-03","3.520","3.330","3.650","3.270","174.30K","-0.85%"
"2025-01-31","3.550","3.730","3.820","3.530","152.97K","-4.57%"
"2025-01-30","3.720","3.610","3.770","3.560","211.85K","4.64%"
"2025-01-29","3.555","3.360","3.580","3.330","469.16K","5.80%"
"2025-01-28","3.360","3.460","3.513","3.313","193.18K","-1.18%"
"2025-01-27","3.400","3.840","3.840","3.300","356.45K","-14.14%"
"2025-01-24","3.960","4.000","4.180","3.945","212.72K","-0.75%"
"2025-01-23","3.990","3.920","4.184","3.920","553.91K","-0.99%"
"2025-01-22","4.030","3.960","4.060","3.820","419.91K","1.26%"
"2025-01-21","3.980","4.060","4.120","3.910","593.21K","-1.24%"
"2025-01-17","4.030","4.110","4.205","3.985","764.65K","1.26%"
"2025-01-16","3.980","3.990","4.035","3.870","256.63K","0.13%"
"2025-01-15","3.975","4.040","4.040","3.840","302.35K","6.85%"
"2025-01-14","3.720","3.700","3.850","3.660","402.64K","1.92%"
"2025-01-13","3.650","3.740","3.780","3.560","358.79K","-4.20%"
"2025-01-10","3.810","3.780","3.850","3.660","439.98K","-1.80%"
"2025-01-08","3.880","3.940","4.000","3.770","336.63K","-4.90%"
"2025-01-07","4.080","4.300","4.300","3.911","342.78K","-5.12%"
"2025-01-06","4.300","4.350","4.430","4.225","339.24K","2.26%"
"2025-01-03","4.205","3.910","4.268","3.850","459.73K","8.94%"
"2025-01-02","3.860","3.620","3.880","3.530","619.51K","10.29%"
"2024-12-31","3.500","3.750","3.775","3.470","716.53K","-4.89%"
"2024-12-30","3.680","3.800","3.835","3.617","445.91K","-6.12%"
"2024-12-27","3.920","3.910","3.990","3.760","382.64K","-2.73%"
"2024-12-26","4.030","3.940","4.070","3.900","313.05K","0.00%"
"2024-12-24","4.030","3.830","4.120","3.830","510.46K","5.50%"
"2024-12-23","3.820","4.090","4.090","3.800","518.11K","-6.83%"
"2024-12-20","4.100","4.040","4.170","3.938","610.91K","-1.20%"
"2024-12-19","4.150","4.550","4.615","4.140","318.96K","-6.53%"
"2024-12-18","4.440","5.040","5.110","4.350","492.49K","-12.25%"
"2024-12-17","5.060","5.070","5.170","4.909","383.30K","-0.20%"
"2024-12-16","5.070","4.750","5.240","4.750","684.42K","5.85%"
"2024-12-13","4.790","4.950","5.030","4.750","443.94K","-3.62%"
"2024-12-12","4.970","4.990","5.280","4.919","1.18M","-1.00%"
"2024-12-11","5.020","4.950","5.120","4.900","560.80K","3.08%"
"2024-12-10","4.870","5.220","5.300","4.840","630.03K","-6.88%"
"2024-12-09","5.230","5.680","5.770","5.160","686.53K","-7.92%"
"2024-12-06","5.680","5.130","5.770","5.110","1.58M","13.37%"
"2024-12-05","5.010","5.270","5.600","4.990","918.30K","-0.20%"
"2024-12-04","5.020","4.810","5.110","4.770","540.66K","4.15%"
"2024-12-03","4.820","4.770","4.915","4.690","425.15K","-2.82%"
"2024-12-02","4.960","5.200","5.310","4.890","305.26K","-4.62%"
"2024-11-29","5.200","5.270","5.490","5.150","289.98K","1.56%"
"2024-11-27","5.120","4.770","5.180","4.706","408.17K","9.64%"
"2024-11-26","4.670","4.720","4.950","4.610","369.89K","-5.08%"
"2024-11-25","4.920","5.150","5.200","4.850","413.96K","-2.38%"
"2024-11-22","5.040","4.870","5.110","4.681","487.82K","2.86%"
"2024-11-21","4.900","5.360","5.504","4.765","793.60K","-4.85%"
"2024-11-20","5.150","5.550","5.720","5.130","774.29K","-5.50%"
"2024-11-19","5.450","5.170","5.600","5.031","808.91K","3.61%"
"2024-11-18","5.260","5.300","5.490","5.030","734.02K","-0.75%"
"2024-11-15","5.300","5.180","5.350","5.100","929.61K","2.71%"
"2024-11-14","5.160","5.450","5.730","5.085","548.87K","-3.28%"
"2024-11-13","5.335","6.300","6.700","5.325","1.16M","-18.80%"
"2024-11-12","6.570","6.290","6.700","6.109","1.04M","1.23%"
"2024-11-11","6.490","5.900","6.590","5.900","1.57M","20.63%"
"2024-11-08","5.380","5.320","5.430","5.159","767.32K","-0.55%"
"2024-11-07","5.410","5.050","5.485","5.020","456.85K","6.29%"
"2024-11-06","5.090","4.810","5.200","4.660","835.42K","17.28%"
"2024-11-05","4.340","4.140","4.420","4.140","351.20K","6.90%"
"2024-11-04","4.060","4.270","4.360","4.050","471.85K","-7.83%"
"2024-11-01","4.405","4.620","4.850","4.400","293.57K","-4.65%"
"2024-10-31","4.620","5.100","5.120","4.570","672.75K","-9.77%"
"2024-10-30","5.120","5.230","5.470","5.100","581.65K","-4.12%"
"2024-10-29","5.340","5.360","5.699","5.278","1.32M","3.99%"
"2024-10-28","5.135","4.560","5.180","4.560","502.59K","14.37%"
"2024-10-25","4.490","4.800","4.800","4.460","357.67K","-4.87%"
"2024-10-24","4.720","4.680","4.872","4.565","304.50K","1.94%"
"2024-10-23","4.630","4.850","4.910","4.480","361.73K","-6.84%"
"2024-10-22","4.970","4.930","5.010","4.780","207.04K","0.20%"
"2024-10-21","4.960","4.780","4.990","4.580","397.40K","3.55%"
"2024-10-18","4.790","4.340","4.790","4.320","325.07K","13.24%"
"2024-10-17","4.230","4.390","4.390","4.190","220.56K","-3.31%"
"2024-10-16","4.375","4.260","4.380","4.155","556.48K","4.17%"
"2024-10-15","4.200","4.320","4.460","4.180","550.94K","-3.67%"
"2024-10-14","4.360","4.480","4.580","4.300","282.97K","1.04%"
"2024-10-11","4.315","4.160","4.360","4.150","315.48K","6.02%"
"2024-10-10","4.070","4.110","4.135","4.010","153.55K","-1.69%"
"2024-10-09","4.140","4.250","4.300","4.120","177.56K","-3.04%"
"2024-10-08","4.270","4.440","4.470","4.240","254.59K","-3.83%"
"2024-10-07","4.440","4.630","4.700","4.350","340.09K","-4.72%"
"2024-10-04","4.660","4.700","4.850","4.630","480.17K","0.00%"
"2024-10-03","4.660","4.640","4.730","4.540","194.22K","-1.06%"
"2024-10-02","4.710","4.680","4.780","4.600","220.58K","-0.63%"
"2024-10-01","4.740","4.990","5.052","4.610","365.66K","-6.14%"
"2024-09-30","5.050","5.040","5.200","4.900","615.01K","-3.63%"
"2024-09-27","5.240","5.240","5.360","5.140","495.63K","1.35%"
"2024-09-26","5.170","5.060","5.330","5.040","496.28K","4.44%"
"2024-09-25","4.950","5.060","5.170","4.940","388.97K","-2.37%"
