"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2025","8.51","8.49","8.53","8.49","2.16M","0.24%"
"01/30/2025","8.49","8.49","8.51","8.49","411.47K","0.00%"
"01/29/2025","8.49","8.50","8.51","8.49","441.16K","0.00%"
"01/28/2025","8.49","8.47","8.51","8.47","1.18M","0.12%"
"01/27/2025","8.48","8.46","8.48","8.46","130.56K","0.12%"
"01/24/2025","8.47","8.47","8.48","8.45","280.61K","0.12%"
"01/23/2025","8.46","8.45","8.47","8.45","116.24K","0.24%"
"01/22/2025","8.44","8.45","8.45","8.44","50.03K","0.00%"
"01/21/2025","8.44","8.45","8.45","8.44","66.38K","-0.12%"
"01/17/2025","8.45","8.44","8.45","8.44","137.00K","0.12%"
"01/16/2025","8.44","8.44","8.45","8.43","147.46K","0.00%"
"01/15/2025","8.44","8.44","8.45","8.43","290.53K","0.12%"
"01/14/2025","8.43","8.44","8.45","8.42","229.05K","0.00%"
"01/13/2025","8.43","8.42","8.44","8.41","224.17K","0.00%"
"01/10/2025","8.43","8.43","8.45","8.43","135.96K","0.12%"
"01/08/2025","8.42","8.44","8.44","8.40","199.88K","-0.24%"
"01/07/2025","8.44","8.43","8.45","8.43","156.57K","0.00%"
"01/06/2025","8.44","8.44","8.45","8.43","137.67K","0.00%"
"01/03/2025","8.44","8.45","8.46","8.43","251.88K","0.00%"
"01/02/2025","8.44","8.45","8.47","8.44","263.11K","-0.24%"
"12/31/2024","8.46","8.46","8.48","8.45","112.14K","0.12%"
"12/30/2024","8.45","8.45","8.46","8.43","84.32K","0.00%"
"12/27/2024","8.45","8.47","8.47","8.45","50.39K","-0.12%"
"12/26/2024","8.46","8.45","8.47","8.44","98.43K","0.00%"
"12/24/2024","8.46","8.46","8.46","8.45","41.30K","0.00%"
"12/23/2024","8.46","8.48","8.48","8.45","233.56K","-0.12%"
"12/20/2024","8.47","8.46","8.47","8.45","124.02K","0.24%"
"12/19/2024","8.45","8.48","8.48","8.45","159.27K","0.00%"
"12/18/2024","8.45","8.47","8.48","8.45","140.92K","-0.12%"
"12/17/2024","8.46","8.46","8.48","8.46","133.74K","0.00%"
"12/16/2024","8.46","8.48","8.48","8.46","72.96K","-0.24%"
"12/13/2024","8.48","8.48","8.50","8.47","82.04K","-0.12%"
"12/12/2024","8.49","8.46","8.49","8.46","133.37K","0.47%"
"12/11/2024","8.45","8.50","8.50","8.45","152.87K","-0.35%"
"12/10/2024","8.48","8.45","8.50","8.45","315.24K","0.24%"
"12/09/2024","8.46","8.45","8.47","8.45","130.03K","0.00%"
"12/06/2024","8.46","8.45","8.46","8.44","191.42K","0.12%"
"12/05/2024","8.45","8.46","8.49","8.45","110.57K","-0.24%"
"12/04/2024","8.47","8.46","8.51","8.46","304.98K","0.12%"
"12/03/2024","8.46","8.46","8.46","8.45","140.38K","0.36%"
"12/02/2024","8.43","8.42","8.48","8.42","222.40K","-0.12%"
"11/29/2024","8.44","8.39","8.46","8.38","266.61K","0.72%"
