"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2024","0.010","0.010","0.010","0.010","0.52K","400.00%"
"01/29/2024","0.002","0.001","0.002","0.001","109.47K","100.00%"
"01/26/2024","0.001","0.001","0.001","0.001","","-66.67%"
"01/24/2024","0.003","0.003","0.003","0.003","","50.00%"
"01/23/2024","0.002","0.003","0.003","0.002","4.70K","-50.00%"
"01/22/2024","0.004","0.007","0.007","0.002","14.18K","-42.86%"
"01/19/2024","0.007","0.002","0.007","0.002","164.87K","250.00%"
"01/18/2024","0.002","0.040","0.040","0.001","6.70K","-94.29%"
"01/17/2024","0.035","0.043","0.050","0.030","181.85K","-18.60%"
"01/16/2024","0.043","0.056","0.070","0.035","253.94K","-23.21%"
"01/12/2024","0.056","0.040","0.080","0.040","69.88K","-3.45%"
"01/11/2024","0.058","0.020","0.080","0.020","185.93K","5.45%"
"01/10/2024","0.055","0.040","0.065","0.040","108.45K","-15.38%"
"01/09/2024","0.065","0.048","0.065","0.048","132.09K","-5.80%"
"01/08/2024","0.069","0.024","0.070","0.024","127.13K","18.97%"
"01/05/2024","0.058","0.022","0.071","0.022","72.93K","20.83%"
"01/04/2024","0.048","0.040","0.069","0.040","130.55K","-18.64%"
"01/03/2024","0.059","0.021","0.060","0.021","135.34K","-1.67%"
"01/02/2024","0.060","0.022","0.071","0.022","234.72K","50.00%"
"12/29/2023","0.040","0.025","0.075","0.021","430.52K","14.29%"
"12/28/2023","0.035","0.030","0.045","0.030","234.28K","-5.41%"
"12/27/2023","0.037","0.033","0.042","0.030","292.52K","12.12%"
"12/26/2023","0.033","0.025","0.041","0.025","500.51K","32.00%"
"12/22/2023","0.025","0.032","0.039","0.025","141.26K","-28.57%"
"12/21/2023","0.035","0.030","0.038","0.030","123.58K","6.06%"
"12/20/2023","0.033","0.031","0.037","0.015","461.13K","-2.94%"
"12/19/2023","0.034","0.032","0.039","0.032","141.03K","-8.11%"
"12/18/2023","0.037","0.027","0.040","0.026","1.17M","32.14%"
"12/15/2023","0.028","0.025","0.030","0.017","358.65K","55.56%"
"12/14/2023","0.018","0.017","0.025","0.017","306.10K","0.00%"
"12/13/2023","0.018","0.011","0.022","0.010","377.54K","80.00%"
"12/12/2023","0.010","0.014","0.014","0.010","164.61K","0.00%"
"12/11/2023","0.010","0.013","0.015","0.010","145.41K","-33.33%"
"12/08/2023","0.015","0.014","0.015","0.013","172.94K","-16.67%"
"12/07/2023","0.018","0.015","0.019","0.015","194.75K","20.00%"
"12/06/2023","0.015","0.019","0.019","0.015","106.85K","0.00%"
"12/05/2023","0.015","0.016","0.021","0.015","261.20K","-6.25%"
"12/04/2023","0.016","0.019","0.022","0.015","389.71K","-5.88%"
"12/01/2023","0.017","0.024","0.024","0.017","360.47K","-32.00%"
"11/30/2023","0.025","0.028","0.028","0.025","376.37K","-16.67%"
"11/29/2023","0.030","0.033","0.040","0.028","306.01K","-18.92%"
"11/28/2023","0.037","0.035","0.037","0.034","47.28K","-7.50%"
"11/27/2023","0.040","0.035","0.040","0.035","204.65K","2.56%"
"11/24/2023","0.039","0.035","0.039","0.032","25.74K","2.63%"
"11/22/2023","0.038","0.040","0.040","0.032","64.26K","-5.00%"
"11/21/2023","0.040","0.038","0.050","0.037","184.73K","-4.76%"
"11/20/2023","0.042","0.034","0.043","0.034","304.32K","20.00%"
"11/17/2023","0.035","0.037","0.043","0.035","297.97K","-18.60%"
"11/16/2023","0.043","0.040","0.046","0.040","179.04K","-6.52%"
"11/15/2023","0.046","0.043","0.048","0.043","57.46K","2.22%"
"11/14/2023","0.045","0.046","0.048","0.044","110.49K","-2.17%"
"11/13/2023","0.046","0.041","0.048","0.041","62.61K","-6.12%"
"11/10/2023","0.049","0.044","0.049","0.044","30.57K","-5.77%"
"11/09/2023","0.052","0.051","0.056","0.048","142.74K","-5.45%"
"11/08/2023","0.055","0.051","0.056","0.050","84.48K","1.85%"
"11/07/2023","0.054","0.051","0.059","0.051","65.57K","-8.47%"
"11/06/2023","0.059","0.052","0.059","0.050","98.35K","13.46%"
"11/03/2023","0.052","0.054","0.055","0.050","176.73K","-3.70%"
"11/02/2023","0.054","0.051","0.055","0.050","316.93K","0.00%"
"11/01/2023","0.054","0.051","0.059","0.047","150.86K","-1.82%"
"10/31/2023","0.055","0.043","0.059","0.043","179.66K","1.85%"
"10/30/2023","0.054","0.040","0.055","0.040","134.03K","14.89%"
"10/27/2023","0.047","0.045","0.058","0.045","395.89K","-12.96%"
"10/26/2023","0.054","0.040","0.054","0.035","629.01K","5.88%"
"10/25/2023","0.051","0.056","0.064","0.042","310.90K","-15.00%"
"10/24/2023","0.060","0.069","0.089","0.055","1.42M","-34.78%"
"10/23/2023","0.092","0.121","0.121","0.080","1.38M","-24.59%"
"10/20/2023","0.122","0.122","0.122","0.122","","-28.36%"
"10/18/2023","0.170","0.204","0.289","0.145","178.35M","58.12%"
"10/17/2023","0.108","0.100","0.114","0.100","10.05M","-0.46%"
"10/16/2023","0.108","0.115","0.124","0.100","5.95M","-31.52%"
"10/13/2023","0.158","0.187","0.240","0.134","50.33M","17.91%"
"10/12/2023","0.134","0.158","0.179","0.134","5.27M","-21.18%"
"10/11/2023","0.170","0.190","0.196","0.150","5.13M","-8.11%"
"10/10/2023","0.185","0.190","0.209","0.175","5.99M","-27.17%"
"10/09/2023","0.254","0.232","0.296","0.222","13.44M","-86.63%"
"10/06/2023","1.900","1.780","1.910","1.710","2.57M","7.34%"
"10/05/2023","1.770","1.630","1.770","1.570","232.13K","4.73%"
"10/04/2023","1.690","1.610","1.700","1.520","270.70K","5.63%"
"10/03/2023","1.600","1.540","1.619","1.470","127.97K","0.63%"
"10/02/2023","1.590","1.590","1.620","1.470","241.62K","-0.62%"
"09/29/2023","1.600","1.350","1.630","1.350","423.93K","17.65%"
"09/28/2023","1.360","1.240","1.360","1.240","112.73K","7.09%"
"09/27/2023","1.270","1.270","1.315","1.245","87.41K","-0.78%"
"09/26/2023","1.280","1.220","1.350","1.220","194.79K","6.67%"
"09/25/2023","1.200","1.150","1.200","1.120","52.56K","1.69%"
"09/22/2023","1.180","1.156","1.180","1.140","60.82K","2.61%"
"09/21/2023","1.150","1.170","1.200","1.070","259.23K","-4.17%"
"09/20/2023","1.200","1.250","1.260","1.170","93.69K","-4.00%"
"09/19/2023","1.250","1.180","1.250","1.160","66.84K","4.17%"
"09/18/2023","1.200","1.200","1.230","1.150","103.41K","0.00%"
"09/15/2023","1.200","1.290","1.290","1.200","118.64K","-5.51%"
"09/14/2023","1.270","1.210","1.270","1.180","108.46K","2.42%"
"09/13/2023","1.240","1.240","1.266","1.210","87.00K","0.00%"
"09/12/2023","1.240","1.210","1.240","1.210","74.52K","-0.80%"
"09/11/2023","1.250","1.240","1.250","1.210","62.83K","0.81%"
"09/08/2023","1.240","1.240","1.250","1.190","96.61K","0.00%"
"09/07/2023","1.240","1.220","1.275","1.200","88.22K","-0.80%"
"09/06/2023","1.250","1.200","1.390","1.180","306.84K","2.46%"
"09/05/2023","1.220","1.210","1.240","1.130","228.66K","-0.81%"
"09/01/2023","1.230","1.170","1.230","1.120","210.52K","2.50%"
"08/31/2023","1.200","1.230","1.265","1.170","84.73K","-3.23%"
"08/30/2023","1.240","1.250","1.278","1.220","69.77K","-0.80%"
"08/29/2023","1.250","1.270","1.290","1.210","100.00K","0.00%"
"08/28/2023","1.250","1.260","1.260","1.200","52.48K","4.17%"
"08/25/2023","1.200","1.200","1.200","1.160","71.07K","0.84%"
"08/24/2023","1.190","1.250","1.250","1.150","72.90K","-4.80%"
"08/23/2023","1.250","1.200","1.300","1.200","74.13K","3.31%"
"08/22/2023","1.210","1.270","1.314","1.170","111.21K","-6.20%"
"08/21/2023","1.290","1.220","1.290","1.170","110.28K","5.74%"
"08/18/2023","1.220","1.240","1.310","1.220","116.84K","-1.61%"
"08/17/2023","1.240","1.340","1.410","1.240","195.82K","-10.79%"
"08/16/2023","1.390","1.520","1.590","1.350","132.67K","-4.14%"
"08/15/2023","1.450","1.420","1.470","1.350","172.74K","-1.36%"
"08/14/2023","1.470","1.500","1.530","1.430","59.77K","-2.65%"
"08/11/2023","1.510","1.630","1.630","1.450","204.42K","-6.79%"
"08/10/2023","1.620","1.500","1.630","1.500","141.97K","7.28%"
"08/09/2023","1.510","1.720","1.803","1.510","215.15K","-12.72%"
"08/08/2023","1.730","1.830","1.830","1.680","256.45K","-7.49%"
"08/07/2023","1.870","1.910","2.015","1.820","106.95K","-4.59%"
"08/04/2023","1.960","2.010","2.050","1.860","320.43K","-2.97%"
"08/03/2023","2.020","2.000","2.110","1.992","92.89K","0.50%"
"08/02/2023","2.010","2.050","2.080","1.860","123.32K","-3.37%"
"08/01/2023","2.080","2.000","2.080","1.960","177.72K","4.00%"
"07/31/2023","2.000","1.880","2.000","1.830","159.01K","9.29%"
"07/28/2023","1.830","1.830","1.890","1.790","220.68K","1.10%"
"07/27/2023","1.810","1.960","1.960","1.780","199.82K","-4.23%"
"07/26/2023","1.890","1.990","2.060","1.850","203.92K","-6.44%"
"07/25/2023","2.020","2.110","2.120","1.950","241.66K","-5.16%"
"07/24/2023","2.130","2.090","2.190","2.030","265.53K","0.00%"
"07/21/2023","2.130","2.150","2.300","2.060","229.41K","-1.84%"
"07/20/2023","2.170","2.330","2.432","2.060","326.53K","-6.87%"
"07/19/2023","2.330","2.460","2.628","2.220","831.08K","0.87%"
"07/18/2023","2.310","2.250","2.350","2.250","189.02K","1.76%"
"07/17/2023","2.270","2.240","2.330","2.200","148.81K","1.34%"
"07/14/2023","2.240","2.310","2.450","2.230","192.75K","-7.44%"
"07/13/2023","2.420","2.440","2.440","2.100","466.79K","1.26%"
"07/12/2023","2.390","2.200","2.440","2.000","829.98K","11.68%"
"07/11/2023","2.140","2.020","2.160","1.900","246.81K","9.18%"
"07/10/2023","1.960","2.060","2.250","1.890","697.80K","-5.77%"
"07/07/2023","2.080","1.890","2.099","1.890","158.44K","8.90%"
"07/06/2023","1.910","2.050","2.070","1.860","116.11K","-8.61%"
"07/05/2023","2.090","2.050","2.149","2.020","81.67K","-0.95%"
"07/03/2023","2.110","2.150","2.180","2.090","62.24K","-2.76%"
"06/30/2023","2.170","2.140","2.200","2.140","167.45K","0.93%"
"06/29/2023","2.150","2.120","2.200","2.110","63.29K","0.47%"
"06/28/2023","2.140","2.120","2.180","2.110","40.43K","1.90%"
"06/27/2023","2.100","2.060","2.160","2.045","41.58K","2.44%"
"06/26/2023","2.050","2.120","2.295","2.040","78.87K","-5.53%"
"06/23/2023","2.170","2.130","2.260","2.075","112.62K","2.36%"
"06/22/2023","2.120","2.210","2.243","2.070","92.62K","-6.61%"
"06/21/2023","2.270","2.250","2.280","2.077","116.87K","-1.30%"
"06/20/2023","2.300","2.100","2.300","2.050","178.86K","9.52%"
"06/16/2023","2.100","2.210","2.300","2.020","228.43K","-6.67%"
"06/15/2023","2.250","2.260","2.320","2.200","151.14K","-1.32%"
"06/14/2023","2.280","2.210","2.379","2.121","287.98K","4.59%"
"06/13/2023","2.180","2.090","2.290","2.083","295.94K","4.31%"
"06/12/2023","2.090","1.860","2.090","1.770","309.79K","15.47%"
"06/09/2023","1.810","1.930","1.930","1.670","221.99K","-4.74%"
"06/08/2023","1.900","1.760","1.980","1.760","506.86K","10.79%"
"06/07/2023","1.715","1.640","1.750","1.620","158.46K","5.21%"
"06/06/2023","1.630","1.600","1.640","1.550","66.26K","5.16%"
"06/05/2023","1.550","1.610","1.660","1.530","67.05K","-3.73%"
"06/02/2023","1.610","1.550","1.650","1.540","158.93K","4.55%"
"06/01/2023","1.540","1.480","1.560","1.410","78.92K","-1.28%"
"05/31/2023","1.560","1.630","1.640","1.550","55.93K","-3.70%"
"05/30/2023","1.620","1.600","1.660","1.590","102.04K","1.89%"
"05/26/2023","1.590","1.580","1.620","1.530","112.88K","1.27%"
"05/25/2023","1.570","1.550","1.570","1.480","56.13K","2.61%"
"05/24/2023","1.530","1.420","1.580","1.400","115.44K","3.38%"
"05/23/2023","1.480","1.430","1.570","1.420","141.69K","3.14%"
"05/22/2023","1.435","1.450","1.500","1.360","110.95K","1.06%"
"05/19/2023","1.420","1.340","1.440","1.320","71.01K","6.77%"
"05/18/2023","1.330","1.370","1.400","1.300","156.54K","-3.62%"
"05/17/2023","1.380","1.350","1.500","1.320","261.96K","0.73%"
"05/16/2023","1.370","1.680","1.700","1.200","441.25K","-22.06%"
"05/15/2023","1.758","1.530","1.800","1.530","189.96K","11.25%"
"05/12/2023","1.580","1.680","1.710","1.460","277.14K","-14.13%"
"05/11/2023","1.840","1.930","1.951","1.740","239.73K","-5.15%"
"05/10/2023","1.940","2.010","2.160","1.900","154.11K","-3.96%"
"05/09/2023","2.020","2.230","2.248","1.891","243.83K","-6.91%"
"05/08/2023","2.170","1.880","2.280","1.860","683.66K","17.93%"
"05/05/2023","1.840","1.670","1.880","1.610","319.45K","15.72%"
"05/04/2023","1.590","1.500","1.640","1.440","145.25K","6.00%"
"05/03/2023","1.500","1.380","1.590","1.370","103.15K","6.38%"
"05/02/2023","1.410","1.440","1.450","1.360","76.00K","-1.40%"
"05/01/2023","1.430","1.380","1.460","1.380","121.10K","-0.69%"
"04/28/2023","1.440","1.410","1.480","1.400","88.28K","0.00%"
"04/27/2023","1.440","1.430","1.454","1.340","162.11K","5.11%"
