"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2024","25.70","26.40","26.42","25.36","278.19K","-2.50%"
"05/01/2024","26.36","26.55","26.57","26.05","34.63K","-0.42%"
"04/30/2024","26.47","27.04","27.08","26.41","22.24K","-1.96%"
"04/29/2024","27.00","27.33","27.35","27.00","8.55K","-1.64%"
"04/26/2024","27.45","28.02","28.02","27.43","16.13K","0.15%"
"04/25/2024","27.41","27.50","27.72","27.28","17.89K","-1.12%"
"04/24/2024","27.72","27.05","27.72","26.83","22.69K","1.54%"
"04/23/2024","27.30","27.64","27.67","27.25","11.87K","-0.18%"
"04/22/2024","27.35","27.16","28.32","27.02","26.42K","0.55%"
"04/19/2024","27.20","25.50","27.37","25.50","42.98K","8.45%"
"04/18/2024","25.08","25.01","25.16","24.87","24.28K","0.20%"
"04/17/2024","25.03","25.16","25.29","24.97","20.44K","-0.64%"
"04/16/2024","25.19","25.02","25.22","24.87","20.21K","0.56%"
"04/15/2024","25.05","25.34","25.34","25.00","11.40K","-0.28%"
"04/12/2024","25.12","25.23","25.41","25.08","20.02K","-0.79%"
"04/11/2024","25.32","25.32","25.60","25.29","26.04K","-0.12%"
"04/10/2024","25.35","26.20","26.25","25.20","39.42K","-3.24%"
"04/09/2024","26.20","26.49","26.49","25.99","22.81K","0.65%"
"04/08/2024","26.03","26.14","26.37","26.02","12.54K","0.08%"
"04/05/2024","26.01","26.10","26.14","25.85","38.57K","0.31%"
"04/04/2024","25.93","25.95","26.43","25.91","35.14K","0.00%"
"04/03/2024","25.93","26.01","26.19","25.76","27.31K","-0.27%"
"04/02/2024","26.00","26.25","27.16","25.90","17.55K","-1.74%"
"04/01/2024","26.46","26.95","27.04","26.27","13.01K","-2.58%"
"03/28/2024","27.16","25.92","27.40","25.92","66.16K","5.35%"
"03/27/2024","25.78","25.70","25.87","25.50","48.10K","0.74%"
"03/26/2024","25.59","25.75","25.86","25.59","34.42K","0.04%"
"03/25/2024","25.58","26.33","26.57","25.42","86.48K","-2.33%"
"03/22/2024","26.19","26.48","26.65","26.06","13.23K","-0.61%"
"03/21/2024","26.35","26.38","26.50","26.30","25.85K","0.50%"
"03/20/2024","26.22","25.22","26.22","25.22","24.97K","3.72%"
"03/19/2024","25.28","25.54","25.82","25.28","16.85K","0.00%"
"03/18/2024","25.28","25.25","25.75","25.25","23.47K","-0.35%"
"03/15/2024","25.37","25.31","25.82","25.31","72.69K","0.24%"
"03/14/2024","25.31","25.81","26.21","25.28","23.85K","-3.36%"
"03/13/2024","26.19","26.51","26.55","26.09","11.68K","-0.95%"
"03/12/2024","26.44","26.66","26.66","26.43","13.49K","-0.79%"
"03/11/2024","26.65","26.50","26.94","26.41","7.90K","0.38%"
"03/08/2024","26.55","26.97","27.44","26.39","19.35K","-0.86%"
"03/07/2024","26.78","27.05","27.12","26.72","11.60K","-0.07%"
"03/06/2024","26.80","27.01","27.13","26.50","15.69K","0.21%"
"03/05/2024","26.75","26.80","26.94","26.67","19.73K","0.73%"
"03/04/2024","26.55","26.86","26.86","26.55","8.84K","-0.38%"
"03/01/2024","26.65","27.20","27.20","26.65","8.21K","-1.22%"
"02/29/2024","26.98","26.74","27.15","26.67","12.25K","2.53%"
"02/28/2024","26.32","26.35","26.73","26.24","21.33K","-1.07%"
"02/27/2024","26.60","26.55","26.77","26.36","10.83K","1.68%"
"02/26/2024","26.16","26.37","26.59","26.15","13.97K","-1.06%"
"02/23/2024","26.44","26.60","26.94","26.30","15.24K","-0.19%"
"02/22/2024","26.49","27.01","27.19","26.24","18.33K","-0.97%"
"02/21/2024","26.75","26.92","26.92","26.47","11.78K","-0.56%"
"02/20/2024","26.90","27.20","27.45","26.90","8.56K","-1.97%"
"02/16/2024","27.44","28.21","28.28","27.44","18.34K","-2.90%"
"02/15/2024","28.26","26.94","28.38","26.94","34.87K","6.08%"
"02/14/2024","26.64","26.39","26.69","26.08","19.90K","2.15%"
"02/13/2024","26.08","27.88","28.09","25.67","32.53K","-8.39%"
"02/12/2024","28.47","27.27","28.94","27.27","45.00K","5.29%"
"02/09/2024","27.04","26.99","27.21","26.96","34.71K","0.33%"
"02/08/2024","26.95","27.00","27.25","26.50","25.80K","-0.66%"
"02/07/2024","27.13","27.11","27.58","26.87","25.75K","-1.88%"
"02/06/2024","27.65","27.92","27.92","27.27","9.02K","-0.50%"
"02/05/2024","27.79","27.77","28.21","27.14","39.63K","-1.70%"
"02/02/2024","28.27","28.51","29.00","28.08","19.29K","-1.64%"
"02/01/2024","28.74","28.58","29.00","27.62","29.46K","1.59%"
"01/31/2024","28.29","29.72","29.72","28.29","24.44K","-5.54%"
"01/30/2024","29.95","29.84","29.96","29.82","5.75K","-0.07%"
"01/29/2024","29.97","29.22","29.97","29.01","13.76K","2.57%"
"01/26/2024","29.22","30.39","30.39","28.91","16.40K","-2.70%"
"01/25/2024","30.03","30.46","30.46","29.40","29.05K","0.54%"
"01/24/2024","29.87","30.08","30.12","29.60","14.94K","-0.10%"
"01/23/2024","29.90","30.09","30.18","29.90","27.66K","0.13%"
"01/22/2024","29.86","28.79","29.89","28.79","12.51K","4.59%"
"01/19/2024","28.55","28.41","28.56","28.23","12.17K","1.42%"
"01/18/2024","28.15","28.26","28.51","28.00","10.09K","0.21%"
"01/17/2024","28.09","27.63","28.09","27.63","14.41K","0.61%"
"01/16/2024","27.92","28.18","28.22","27.75","14.93K","-0.71%"
"01/12/2024","28.12","28.77","28.77","28.09","12.36K","-0.42%"
"01/11/2024","28.24","28.29","28.66","27.99","21.06K","-0.95%"
"01/10/2024","28.51","28.70","28.76","28.25","18.12K","0.04%"
"01/09/2024","28.50","28.64","28.80","28.44","25.71K","-1.42%"
"01/08/2024","28.91","28.85","29.11","28.34","26.82K","0.07%"
"01/05/2024","28.89","28.68","29.22","28.68","90.17K","0.28%"
"01/04/2024","28.81","29.37","29.69","28.66","30.54K","-1.23%"
"01/03/2024","29.17","30.07","30.39","29.06","39.88K","-3.15%"
"01/02/2024","30.12","30.50","31.14","29.82","55.86K","-1.86%"
"12/29/2023","30.69","31.11","31.16","30.62","35.60K","-0.90%"
"12/28/2023","30.97","31.31","31.32","30.69","64.29K","-0.58%"
"12/27/2023","31.15","31.49","31.49","30.91","46.88K","-0.42%"
"12/26/2023","31.28","30.85","31.49","30.65","38.87K","2.06%"
"12/22/2023","30.65","30.08","30.98","29.81","26.80K","2.34%"
"12/21/2023","29.95","29.96","30.08","29.69","20.39K","0.74%"
"12/20/2023","29.73","29.71","31.00","29.28","88.97K","0.51%"
"12/19/2023","29.58","28.34","29.69","28.00","43.71K","4.38%"
"12/18/2023","28.34","27.79","28.46","27.65","46.02K","1.98%"
"12/15/2023","27.79","27.69","28.07","27.11","105.97K","1.09%"
"12/14/2023","27.49","27.50","28.00","27.24","81.12K","0.22%"
"12/13/2023","27.43","26.85","27.50","26.44","138.82K","2.89%"
"12/12/2023","26.66","26.68","27.00","26.59","43.02K","-0.19%"
"12/11/2023","26.71","26.53","26.83","26.22","22.94K","0.11%"
"12/08/2023","26.68","25.99","26.97","25.69","26.95K","3.05%"
"12/07/2023","25.89","25.18","25.89","25.00","54.70K","3.68%"
"12/06/2023","24.97","25.10","25.44","24.90","33.51K","-0.12%"
"12/05/2023","25.00","24.94","25.04","23.95","22.59K","0.00%"
"12/04/2023","25.00","24.50","25.10","24.50","17.04K","1.58%"
"12/01/2023","24.61","23.32","24.67","23.31","47.37K","5.31%"
"11/30/2023","23.37","23.80","23.86","23.24","27.48K","-1.23%"
"11/29/2023","23.66","23.45","23.82","23.45","17.01K","1.50%"
"11/28/2023","23.31","23.17","23.46","23.12","14.31K","0.00%"
"11/27/2023","23.31","23.11","23.47","23.11","13.15K","-0.47%"
"11/24/2023","23.42","23.00","23.42","22.81","14.42K","1.78%"
"11/22/2023","23.01","22.94","23.10","22.58","11.01K","1.05%"
"11/21/2023","22.77","22.73","22.99","22.57","13.09K","0.13%"
"11/20/2023","22.74","22.06","22.78","22.03","11.46K","2.02%"
"11/17/2023","22.29","22.38","22.38","21.54","37.13K","0.77%"
"11/16/2023","22.12","21.96","22.12","21.15","390.15K","0.64%"
"11/15/2023","21.98","22.58","22.58","21.89","33.80K","-2.66%"
"11/14/2023","22.58","21.93","22.58","21.93","60.63K","5.46%"
"11/13/2023","21.41","20.97","21.63","20.97","17.11K","-0.33%"
"11/10/2023","21.48","21.11","21.50","21.11","22.41K","0.70%"
"11/09/2023","21.33","21.50","21.50","21.29","8.93K","-0.79%"
"11/08/2023","21.50","21.60","21.60","21.31","15.43K","0.05%"
"11/07/2023","21.49","21.40","21.50","21.38","16.84K","0.37%"
"11/06/2023","21.41","21.55","21.64","21.32","12.88K","-1.47%"
"11/03/2023","21.73","21.90","21.90","21.70","59.21K","0.65%"
"11/02/2023","21.59","21.75","21.80","21.50","74.56K","0.79%"
"11/01/2023","21.42","21.58","21.59","21.23","23.19K","-0.37%"
"10/31/2023","21.50","21.36","21.66","21.36","21.77K","0.00%"
"10/30/2023","21.50","21.00","21.62","20.99","37.71K","2.38%"
"10/27/2023","21.00","21.93","21.93","20.83","20.65K","-4.98%"
"10/26/2023","22.10","22.61","22.94","22.06","25.32K","-1.30%"
"10/25/2023","22.39","22.14","22.53","22.07","11.96K","0.31%"
"10/24/2023","22.32","22.00","22.40","22.00","18.45K","1.13%"
"10/23/2023","22.07","22.01","22.21","22.00","13.29K","0.41%"
"10/20/2023","21.98","22.31","22.39","21.95","22.11K","-1.21%"
"10/19/2023","22.25","22.55","22.55","22.22","10.40K","0.00%"
"10/18/2023","22.25","22.73","22.78","22.24","14.26K","-2.97%"
"10/17/2023","22.93","22.84","23.05","22.82","41.27K","0.17%"
"10/16/2023","22.89","22.82","23.00","22.75","20.99K","1.06%"
"10/13/2023","22.65","22.61","22.70","22.44","19.90K","-0.53%"
"10/12/2023","22.77","22.87","22.87","22.44","17.95K","-0.87%"
"10/11/2023","22.97","22.94","22.98","22.69","16.88K","0.57%"
"10/10/2023","22.84","22.94","23.04","22.74","15.39K","0.26%"
"10/09/2023","22.78","22.80","23.03","22.76","17.87K","-0.74%"
"10/06/2023","22.95","23.00","23.11","22.69","36.66K","-0.69%"
"10/05/2023","23.11","22.77","23.13","22.73","72.19K","0.78%"
"10/04/2023","22.93","21.93","22.93","21.83","32.69K","3.99%"
"10/03/2023","22.05","22.23","22.24","21.90","22.97K","-1.74%"
"10/02/2023","22.44","22.51","22.51","22.29","24.83K","-0.44%"
"09/29/2023","22.54","23.10","23.14","22.35","19.14K","-1.87%"
"09/28/2023","22.97","22.92","23.03","22.85","21.08K","0.31%"
"09/27/2023","22.90","22.74","22.92","22.62","28.03K","0.93%"
"09/26/2023","22.69","23.05","23.15","22.55","34.16K","-1.65%"
"09/25/2023","23.07","23.23","23.27","23.02","39.23K","-0.13%"
"09/22/2023","23.10","23.25","23.51","23.03","37.28K","-0.52%"
"09/21/2023","23.22","23.30","23.48","23.22","22.82K","-0.90%"
"09/20/2023","23.43","23.55","23.73","23.23","39.00K","0.26%"
"09/19/2023","23.37","23.68","23.75","23.34","42.27K","-1.06%"
"09/18/2023","23.62","23.84","23.93","23.58","51.19K","-0.51%"
"09/15/2023","23.74","23.99","24.13","23.33","163.49K","-1.08%"
"09/14/2023","24.00","23.95","24.15","23.79","44.98K","0.21%"
"09/13/2023","23.95","24.26","24.39","23.71","49.55K","-1.60%"
"09/12/2023","24.34","23.97","24.41","23.96","24.31K","1.12%"
"09/11/2023","24.07","24.10","24.29","23.85","30.53K","0.46%"
"09/08/2023","23.96","24.17","24.38","23.89","26.73K","-1.28%"
"09/07/2023","24.27","24.53","24.75","24.11","92.71K","-1.14%"
"09/06/2023","24.55","24.98","25.05","24.50","32.34K","-1.56%"
"09/05/2023","24.94","24.61","25.06","24.61","52.69K","0.77%"
"09/01/2023","24.75","24.83","24.91","24.44","40.36K","0.61%"
"08/31/2023","24.60","24.83","25.00","24.52","43.65K","-0.20%"
"08/30/2023","24.65","24.53","24.76","24.40","19.10K","0.90%"
"08/29/2023","24.43","25.06","25.09","24.27","43.60K","-1.85%"
"08/28/2023","24.89","24.70","25.19","24.68","88.37K","0.61%"
"08/25/2023","24.74","23.94","24.80","23.90","149.59K","4.12%"
"08/24/2023","23.76","23.61","23.94","23.61","15.35K","0.25%"
"08/23/2023","23.70","23.78","23.78","23.62","31.79K","0.34%"
"08/22/2023","23.62","23.79","23.94","23.57","23.29K","-0.71%"
"08/21/2023","23.79","23.70","24.00","23.44","19.39K","0.59%"
"08/18/2023","23.65","23.77","24.06","23.64","37.33K","-1.25%"
"08/17/2023","23.95","24.14","24.25","23.84","21.82K","-0.37%"
"08/16/2023","24.04","24.23","24.38","24.00","26.19K","-1.03%"
"08/15/2023","24.29","23.65","24.64","23.55","33.63K","2.10%"
"08/14/2023","23.79","23.42","23.97","23.42","15.61K","-1.33%"
"08/11/2023","24.11","23.75","24.25","23.75","17.60K","1.56%"
"08/10/2023","23.74","23.63","23.93","23.50","40.63K","-0.17%"
"08/09/2023","23.78","23.34","23.85","23.30","21.21K","0.93%"
"08/08/2023","23.56","23.27","23.68","22.98","20.94K","-0.17%"
"08/07/2023","23.60","23.41","23.67","23.36","12.30K","1.46%"
"08/04/2023","23.26","23.60","23.80","23.18","17.64K","-1.15%"
"08/03/2023","23.53","23.34","23.67","23.34","16.31K","0.26%"
