"Date","Price","Open","High","Low","Vol.","Change %"
"2025-04-30","12.32","12.15","12.53","11.98","24.97K","-0.24%"
"2025-04-29","12.35","12.15","12.35","11.98","19.05K","1.90%"
"2025-04-28","12.12","11.90","12.18","11.90","34.85K","2.80%"
"2025-04-25","11.79","11.72","11.79","11.48","5.49K","-2.56%"
"2025-04-24","12.10","10.26","12.10","10.26","27.33K","5.49%"
"2025-04-23","11.47","11.20","11.47","10.76","12.62K","3.33%"
"2025-04-22","11.10","10.57","11.15","10.57","16.58K","4.32%"
"2025-04-21","10.64","10.52","10.73","10.52","12.75K","-0.19%"
"2025-04-17","10.66","10.67","10.93","10.36","25.05K","-0.19%"
"2025-04-16","10.68","10.58","10.70","10.58","29.25K","0.09%"
"2025-04-15","10.67","10.37","10.73","10.37","29.54K","2.01%"
"2025-04-14","10.46","10.29","10.55","10.18","52.91K","2.25%"
"2025-04-11","10.23","10.04","10.48","10.04","25.36K","-0.39%"
"2025-04-10","10.27","10.28","10.44","10.10","19.86K","-3.75%"
"2025-04-09","10.67","10.13","11.07","10.10","54.02K","3.89%"
"2025-04-08","10.27","10.47","10.63","10.10","42.82K","-1.34%"
"2025-04-07","10.41","10.22","10.60","10.02","23.65K","1.56%"
"2025-04-04","10.25","9.75","10.32","9.75","28.95K","1.08%"
"2025-04-03","10.14","10.59","10.59","10.10","23.62K","-8.40%"
"2025-04-02","11.07","10.69","11.11","10.69","19.60K","2.03%"
"2025-04-01","10.85","10.85","10.92","10.72","24.66K","-0.64%"
"2025-03-31","10.92","10.81","11.08","10.79","12.67K","0.55%"
"2025-03-28","10.86","10.77","10.86","10.71","12.99K","-1.54%"
"2025-03-27","11.03","11.00","11.10","10.89","7.22K","-0.54%"
"2025-03-26","11.09","11.11","11.13","11.00","6.36K","0.64%"
"2025-03-25","11.02","10.95","11.39","10.95","23.05K","1.29%"
"2025-03-24","10.88","10.65","10.93","10.65","15.12K","2.45%"
"2025-03-21","10.62","10.83","10.92","10.54","34.00K","-1.85%"
"2025-03-20","10.82","10.83","11.02","10.82","15.20K","-1.37%"
"2025-03-19","10.97","10.90","11.06","10.90","29.97K","0.73%"
"2025-03-18","10.89","10.90","11.03","10.85","10.70K","-0.18%"
"2025-03-17","10.91","10.83","10.98","10.78","27.98K","1.30%"
"2025-03-14","10.77","10.90","10.90","10.70","23.34K","-0.37%"
"2025-03-13","10.81","10.85","11.03","10.79","19.71K","0.46%"
"2025-03-12","10.76","10.70","10.98","10.60","21.00K","3.16%"
"2025-03-11","10.43","10.86","10.86","10.43","11.15K","-3.96%"
"2025-03-10","10.86","11.15","11.22","10.85","22.99K","-4.49%"
"2025-03-07","11.37","11.37","11.51","11.10","6.91K","-0.61%"
"2025-03-06","11.44","11.38","11.55","11.38","8.82K","-0.95%"
"2025-03-05","11.55","11.70","11.90","11.50","7.22K","-1.28%"
"2025-03-04","11.70","11.87","11.93","11.69","16.09K","-2.82%"
"2025-03-03","12.04","12.17","12.29","12.03","12.01K","0.25%"
"2025-02-28","12.01","12.14","12.14","12.01","3.21K","-0.08%"
