"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2025","9.06","9.21","9.26","9.06","640.94K","-1.52%"
"08/04/2025","9.20","9.31","9.36","9.15","599.96K","-0.33%"
"08/01/2025","9.23","9.42","9.48","9.16","781.77K","-3.15%"
"07/31/2025","9.53","9.53","9.64","9.41","572.26K","-0.73%"
"07/30/2025","9.60","9.70","9.90","9.53","867.48K","-1.64%"
"07/29/2025","9.76","9.55","9.98","9.53","1.03M","0.10%"
"07/28/2025","9.75","9.57","9.79","9.42","722.34K","2.42%"
"07/25/2025","9.52","9.57","9.57","9.40","770.33K","-0.73%"
"07/24/2025","9.59","9.50","9.72","9.33","1.13M","0.74%"
"07/23/2025","9.52","9.75","9.84","9.25","1.30M","-1.65%"
"07/22/2025","9.68","9.14","9.69","9.10","1.69M","5.22%"
"07/21/2025","9.20","8.85","9.27","8.77","1.92M","4.31%"
"07/18/2025","8.82","8.99","9.05","8.75","781.45K","-1.45%"
"07/17/2025","8.95","8.92","9.09","8.88","772.33K","0.56%"
"07/16/2025","8.90","9.11","9.20","8.87","624.33K","-2.31%"
"07/15/2025","9.11","9.15","9.37","9.09","786.68K","1.00%"
"07/14/2025","9.02","9.32","9.41","8.99","891.43K","-4.14%"
"07/11/2025","9.41","9.23","9.45","9.15","948.69K","-0.11%"
"07/10/2025","9.42","9.70","9.84","9.35","1.24M","-3.98%"
"07/09/2025","9.81","8.78","9.86","8.69","2.71M","16.51%"
"07/08/2025","8.42","8.60","8.72","8.36","1.16M","-1.75%"
"07/07/2025","8.57","8.83","8.85","8.52","745.25K","-4.46%"
"07/03/2025","8.97","8.88","9.06","8.83","467.78K","2.28%"
"07/02/2025","8.77","8.51","9.00","8.49","1.34M","3.30%"
"07/01/2025","8.49","8.24","8.68","8.10","1.23M","3.54%"
"06/30/2025","8.20","8.22","8.33","8.03","1.16M","-1.56%"
"06/27/2025","8.33","8.40","8.44","8.23","750.86K","-0.83%"
"06/26/2025","8.40","8.25","8.45","8.25","798.76K","2.69%"
"06/25/2025","8.18","8.30","8.32","8.15","633.34K","-1.80%"
"06/24/2025","8.33","8.14","8.44","8.10","887.23K","3.09%"
"06/23/2025","8.08","8.14","8.24","7.99","1.11M","-1.46%"
"06/20/2025","8.20","8.34","8.36","8.16","1.16M","-1.20%"
"06/18/2025","8.30","8.45","8.50","8.28","1.08M","-2.01%"
"06/17/2025","8.47","8.64","8.66","8.33","998.08K","-3.31%"
"06/16/2025","8.76","8.87","8.91","8.68","835.88K","-0.57%"
"06/13/2025","8.81","8.74","8.83","8.59","732.34K","-0.34%"
"06/12/2025","8.84","8.78","8.92","8.75","728.02K","-0.11%"
"06/11/2025","8.85","8.85","8.92","8.69","848.97K","1.14%"
"06/10/2025","8.75","8.79","8.79","8.53","1.30M","0.92%"
"06/09/2025","8.67","8.98","9.10","8.64","1.00M","-2.69%"
"06/06/2025","8.91","8.75","8.93","8.66","1.04M","2.89%"
"06/05/2025","8.66","8.65","8.69","8.44","1.12M","1.05%"
"06/04/2025","8.57","8.90","8.90","8.56","658.21K","-3.16%"
"06/03/2025","8.85","8.62","9.04","8.50","996.64K","1.72%"
"06/02/2025","8.70","8.82","8.82","8.55","722.58K","-1.36%"
"05/30/2025","8.82","8.74","8.94","8.64","907.86K","0.46%"
